"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200443 - Control",-1.33333333333333,0.798567311231116,49,-3.82763497740334,1.16096831073668,-1.66965678983001,0.680937072533611
"2","200470 - Control",-0.966666666666667,0.798567311231116,49,-3.46096831073668,1.52763497740334,-1.21050117262676,0.909560683600469
"3","200505 - Control",-0.966666666666666,0.798567311231116,49,-3.46096831073668,1.52763497740335,-1.21050117262676,0.909560683600469
"4","200567 - Control",-0.966666666666667,0.798567311231116,49,-3.46096831073668,1.52763497740334,-1.21050117262676,0.909560683600469
"5","200634 - Control",-1.76666666666667,0.798567311231116,49,-4.26096831073668,0.727634977403343,-2.21229524652477,0.341199875816069
"6","200648 - Control",-0.750000000000002,0.892825396261002,49,-3.53871401626501,2.03871401626501,-0.840029868259652,0.985525958712274
"7","200669 - Control",-0.900000000000003,0.798567311231115,49,-3.39430164407001,1.59430164407001,-1.12701833313527,0.935006368711934
"8","200723 - Control",-1.5,0.798567311231116,49,-3.99430164407002,0.99430164407001,-1.87836388855877,0.546540596204694
"9","200926 - Control",-1.26666666666667,0.798567311231115,49,-3.76096831073668,1.22763497740334,-1.58617395033852,0.731655270642694
"10","201019 - Control",-1.36666666666667,0.798567311231116,49,-3.86096831073668,1.12763497740334,-1.71139820957577,0.654667997047938
"11","201079 - Control",-0.533333333333333,0.798567311231116,49,-3.02763497740334,1.96096831073668,-0.667862715932006,0.996015659432776
"12","201263 - Control",-0.633333333333334,0.798567311231116,49,-3.12763497740334,1.86096831073668,-0.793086975169259,0.989442865394305
"13","201290 - Control",-1,0.798567311231116,49,-3.49430164407001,1.49430164407001,-1.25224259237251,0.894814912085393
"14","201302 - Control",-0.766666666666668,0.798567311231116,49,-3.26096831073668,1.72763497740334,-0.960052654152262,0.970622357335141
"15","201350 - Control",-0.133333333333334,0.798567311231116,49,-2.62763497740334,2.36096831073668,-0.166965678983002,0.999999282290132
"16","201453 - Control",-1.36666666666667,0.798567311231116,49,-3.86096831073668,1.12763497740334,-1.71139820957577,0.654667997047938
"17","201812 - Control",-0.833333333333334,0.798567311231116,49,-3.32763497740334,1.66096831073668,-1.04353549364376,0.955225824406707
"18","201826 - Control",-0.800000000000001,0.798567311231116,49,-3.29430164407001,1.69430164407001,-1.00179407389801,0.963493691347094
"19","201838 - Control",-1.33333333333333,0.798567311231116,49,-3.82763497740334,1.16096831073668,-1.66965678983002,0.680937072533607
"20","201849 - Control",-1.43333333333333,0.798567311231115,49,-3.92763497740334,1.06096831073668,-1.79488104906727,0.600951561687804
"21","201853 - Control",-2.03333333333333,0.798567311231116,49,-4.52763497740334,0.460968310736676,-2.54622660449078,0.185920646611903
"22","201862 - Control",-0.833333333333336,0.798567311231116,49,-3.32763497740335,1.66096831073668,-1.04353549364376,0.955225824406706
"23","201877 - Control",-0.866666666666668,0.798567311231116,49,-3.36096831073668,1.62763497740334,-1.08527691338951,0.94574922746924
"24","201884 - Control",-1.73333333333333,0.798567311231116,49,-4.22763497740335,0.76096831073668,-2.17055382677902,0.364727577683892
