"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200266 - control",0.524999999999999,1.81119707074074,65,-5.21309446992323,6.26309446992323,0.289863543002135,0.999995322976555
"2","200446 - control",-0.708333333333333,1.81119707074074,65,-6.44642780325656,5.02976113658989,-0.391085732621928,0.999959626066205
"3","200460 - control",-0.808333333333335,1.81119707074074,65,-6.54642780325657,4.9297611365899,-0.446297836050908,0.999896921292915
"4","200473 - control",0.558333333333334,1.81119707074074,65,-5.17976113658989,6.29642780325656,0.308267577478462,0.999992696899595
"5","200547 - control",3.425,1.81119707074074,65,-2.31309446992322,9.16309446992322,1.8910145424425,0.595418875862301
"6","200561 - control",-0.241666666666673,1.81119707074074,65,-5.97976113658991,5.49642780325656,-0.133429249953367,0.999999983992938
"7","200599 - control",-3.20833333333333,1.81119707074074,65,-8.94642780325655,2.52976113658989,-1.77138831834638,0.673799042801848
"8","200634 - control",-0.674999999999983,1.81119707074074,65,-6.41309446992321,5.06309446992324,-0.372681698145593,0.999971390294723
"9","200648 - control",1.52499999999999,1.81119707074074,65,-4.21309446992323,7.26309446992321,0.841984577291912,0.99257827045679
"10","200665 - control",0.758333333333334,1.81119707074074,65,-4.97976113658989,6.49642780325656,0.418691784336418,0.999934401619349
"11","200821 - control",-2.175,1.81119707074074,65,-7.91309446992323,3.56309446992322,-1.20086324958028,0.941622407358677
"12","200883 - control",2.125,1.81119707074074,65,-3.61309446992322,7.86309446992323,1.17325719786579,0.948394564652169
"13","200986 - control",-0.341666666666669,1.81119707074074,65,-6.07976113658989,5.39642780325656,-0.188641353382343,0.999999796248182
"14","201056 - control",1.925,1.81119707074074,65,-3.81309446992323,7.66309446992322,1.06283299100783,0.970068269453193
"15","201079 - control",0.591666666666666,1.81119707074074,65,-5.14642780325655,6.32976113658989,0.326671611954787,0.999988899499934
"16","201083 - control",0.158333333333337,1.81119707074074,65,-5.57976113658989,5.89642780325656,0.0874191637625506,0.99999999929053
"17","201098 - control",1.39166666666667,1.81119707074074,65,-4.34642780325655,7.12976113658989,0.768368439386614,0.995851230347043
"18","201152 - control",-1.24166666666666,1.81119707074074,65,-6.97976113658989,4.49642780325657,-0.685550284243142,0.998031776437899
"19","201175 - control",1.625,1.81119707074074,65,-4.11309446992323,7.36309446992322,0.897196680720894,0.988998878356629
"20","201176 - control",3.69166666666666,1.81119707074074,65,-2.04642780325656,9.42976113658989,2.03824681825311,0.497362865941347
"21","201185 - control",0.991666666666667,1.81119707074074,65,-4.74642780325656,6.72976113658989,0.5475200256707,0.999570467592193
"22","201254 - control",0.924999999999997,1.81119707074074,65,-4.81309446992323,6.66309446992322,0.510711956718046,0.999734769569719
"23","201260 - control",1.29166666666666,1.81119707074074,65,-4.44642780325656,7.02976113658989,0.713156335957634,0.997446132907849
"24","201808 - control",1.125,1.81119707074074,65,-4.61309446992323,6.86309446992322,0.621136163576004,0.998983339809519
"25","201845 - control",-0.275000000000001,1.81119707074074,65,-6.01309446992323,5.46309446992322,-0.15183328442969,0.999999958593497
"26","201849 - control",5.02499999999999,1.81119707074074,65,-0.713094469923235,10.7630944699232,2.77440819730615,0.131119731758381
"27","201896 - control",1.49166666666667,1.81119707074074,65,-4.24642780325656,7.2297611365899,0.823580542815592,0.993541292967061
"28","201901 - control",-1.40833333333333,1.81119707074074,65,-7.14642780325656,4.32976113658989,-0.777570456624776,0.995521051107452
"29","201915 - control",2.55833333333333,1.81119707074074,65,-3.17976113658989,8.29642780325656,1.41250964605802,0.869811097154545
"30","201926 - control",0.258333333333332,1.81119707074074,65,-5.47976113658989,5.99642780325656,0.142631267191526,0.999999973853454
"31","201957 - control",-0.241666666666666,1.81119707074074,65,-5.97976113658989,5.49642780325656,-0.133429249953364,0.999999983992938
