"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200290 - control",-0.966666666666707,5.41465383847169,70,-18.3222983056365,16.3889649723031,-0.178527879252121,0.999999964561838
"2","200312 - control",-4.53333333333331,5.41465383847168,70,-21.888964972303,12.8222983056364,-0.837234192354736,0.995387741282729
"3","200438 - control",3.46666666666667,6.05376702872643,70,-15.9375194019246,22.8708527352579,0.572646197023538,0.999695072847859
"4","200462 - control",0.199999999999994,5.41465383847169,70,-17.1556316389698,17.5556316389697,0.0369368026038844,1
"5","200477 - control",0.299999999999994,5.41465383847169,70,-17.0556316389698,17.6556316389698,0.0554052039058271,0.999999999996942
"6","200525 - control",9.73333333333332,5.41465383847169,70,-7.62229830563642,27.0889649723031,1.79759106005576,0.690735898619197
"7","200555 - control",9.63333333333334,5.41465383847169,70,-7.72229830563641,26.9889649723031,1.77912265875382,0.702424299706756
"8","200578 - control",1.6,5.41465383847169,70,-15.7556316389697,18.9556316389697,0.295494420831085,0.999998101191143
"9","200588 - control",4.76666666666669,7.6574768939222,70,-19.7779029807159,29.3112363140493,0.622485282384597,0.999435776519304
"10","200667 - control",7.93333333333334,5.41465383847169,70,-9.42229830563641,25.2889649723031,1.4651598366208,0.871072417244302
"11","200704 - control",-1.13333333333333,5.41465383847169,70,-18.4889649723031,16.2222983056364,-0.209308548088684,0.999999874850614
"12","200716 - control",6.43333333333333,5.41465383847169,70,-10.9222983056364,23.7889649723031,1.18813381709165,0.957658973964895
"13","200719 - control",0.900000000000028,5.41465383847169,70,-16.4556316389697,18.2556316389698,0.16621561171749,0.999999979915263
"14","200797 - control",3.06666666666668,5.41465383847169,70,-14.2889649723031,20.4222983056364,0.566364306592914,0.999719064872326
"15","200806 - control",-6.46666666666666,5.41465383847169,70,-23.8222983056364,10.8889649723031,-1.19428995085897,0.956381895149732
"16","200880 - control",-3.00000000000001,5.41465383847169,70,-20.3556316389698,14.3556316389697,-0.554052039058285,0.999761482705138
"17","200881 - control",-0.400000000000003,5.41465383847169,70,-17.7556316389698,16.9556316389698,-0.0738736052077717,0.999999999968847
"18","200952 - control",0.133333333333334,5.41465383847169,70,-17.2222983056364,17.4889649723031,0.0246245350692572,1
"19","200976 - control",14.5666666666667,6.05376702872643,70,-4.83751940192457,33.9708527352579,2.40621527018544,0.302551105368253
"20","200983 - control",2.06666666666666,5.41465383847169,70,-15.2889649723031,19.4222983056364,0.381680293573482,0.999986038530466
"21","200988 - control",9.36666666666666,5.41465383847169,70,-7.98896497230309,26.7222983056364,1.72987358861531,0.732861306219189
"22","201014 - control",0.500000000000003,5.41465383847169,70,-16.8556316389698,17.8556316389698,0.0923420065097145,0.999999999814575
"23","201078 - control",2.16666666666667,5.41465383847169,70,-15.1889649723031,19.5222983056364,0.400148694875427,0.999979886159463
"24","201088 - control",9.50000000000002,5.41465383847169,70,-7.85563163896974,26.8556316389698,1.75449812368457,0.717783756316385
"25","201154 - control",-3.53333333333334,5.41465383847169,70,-20.8889649723031,13.8222983056364,-0.652550179335313,0.999204210924196
"26","201267 - control",3.79999999999999,5.41465383847169,70,-13.5556316389698,21.1556316389697,0.701799249473825,0.998655898916516
"27","201304 - control",1.53333333333333,5.41465383847169,70,-15.8222983056364,18.8889649723031,0.283182153296455,0.999998640433107
"28","201315 - control",9.39999999999998,5.41465383847169,70,-7.95563163896978,26.7556316389697,1.73602972238262,0.729119786002321
"29","201844 - control",4.49999999999997,5.41465383847168,70,-12.8556316389698,21.8556316389697,0.83107805858742,0.995614091398534
"30","201854 - control",8.16666666666666,5.41465383847169,70,-9.18896497230309,25.5222983056364,1.50825277299199,0.852029906435071
"31","201861 - control",3.46666666666665,5.41465383847168,70,-13.8889649723031,20.8222983056364,0.64023791180068,0.999307140425948
"32","201897 - control",4.10000000000002,5.41465383847169,70,-13.2556316389697,21.4556316389698,0.757204453379657,0.997697714349149
"33","201902 - control",0.100000000000011,5.4146538384717,70,-17.2556316389698,17.4556316389698,0.0184684013019448,1
"34","201914 - control",20.2333333333333,5.41465383847169,70,2.87770169436357,37.5889649723031,3.73677319675975,0.0107629998004432
"35","201938 - control",-0.900000000000002,5.41465383847169,70,-18.2556316389698,16.4556316389697,-0.166215611717485,0.999999979915263
"36","201982 - control",-1.93333333333333,5.41465383847169,70,-19.2889649723031,15.4222983056364,-0.357055758504226,0.999991676618356
