"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200274 - control",-10.0249999999997,115.639904450795,50,-372.383491655851,352.333491655852,-0.0866915278736279,0.99999999295382
"2","200307 - control",-80.8916666666665,115.639904450795,50,-443.250158322518,281.466824989185,-0.699513433972841,0.995401201692417
"3","200449 - control",-124.191666666667,115.639904450795,50,-486.550158322518,238.166824989185,-1.07395165411531,0.951974980315167
"4","200517 - control",-128.958333333333,115.639904450794,50,-491.316824989184,233.400158322518,-1.11517156595547,0.942179052115986
"5","200529 - control",-125.958333333333,115.639904450794,50,-488.316824989184,236.400158322518,-1.08922896409802,0.948487725655528
"6","200567 - control",73.6750000000001,115.639904450795,50,-288.683491655851,436.033491655851,0.637107063949099,0.997355190827263
"7","200600 - control",-132.625,115.639904450795,50,-494.983491655851,229.733491655851,-1.1468791904479,0.933791760004504
"8","200607 - control",-16.2916666666666,115.639904450794,50,-378.650158322518,346.066824989185,-0.140882740642516,0.999999828922607
"9","200669 - control",-53.8583333333334,115.639904450795,50,-416.216824989185,308.500158322518,-0.465741766124084,0.999612507453647
"10","200724 - control",61.4750000000001,115.639904450795,50,-300.883491655851,423.833491655851,0.531607149728821,0.99911908235733
"11","200736 - control",-11.3749999999999,131.123326633746,50,-422.250909017367,399.500909017367,-0.08675039210813,0.999999992922293
"12","200885 - control",-140.958333333333,115.639904450795,50,-503.316824989185,221.400158322518,-1.21894197338525,0.911878201924129
"13","200938 - control",-42.225,115.639904450795,50,-404.583491655851,320.133491655851,-0.365142121143545,0.999916837167819
"14","201302 - control",-48.8249999999999,115.639904450794,50,-411.183491655851,313.533491655851,-0.422215845229925,0.999790867135882
"15","201350 - control",6.70833333333288,115.639904450794,50,-355.650158322518,369.066824989184,0.0580105402645617,0.999999999499018
"16","201703 - control",-80.6916666666666,115.639904450795,50,-443.050158322518,281.666824989185,-0.697783927182346,0.99546743581068
"17","201812 - control",-119.425,169.279486783938,50,-649.863517660699,411.013517660699,-0.705490087835804,0.99516641771055
"18","201826 - control",-15.025,115.639904450795,50,-377.383491655851,347.333491655851,-0.12992919763604,0.999999899399128
"19","201838 - control",-67.5916666666667,115.639904450794,50,-429.950158322518,294.766824989184,-0.584501232404835,0.998426482016746
"20","201847 - control",-218.991666666666,115.639904450794,50,-581.350158322517,143.366824989185,-1.89373787281058,0.545654103778257
"21","201848 - control",-20.3916666666667,115.639904450795,50,-382.750158322518,341.966824989185,-0.176337629847692,0.999999255809854
"22","201871 - control",-39.325,115.639904450794,50,-401.683491655851,323.033491655851,-0.340064272681348,0.999947242549923
"23","201877 - control",-104.125,115.639904450795,50,-466.483491655851,258.233491655851,-0.90042447280217,0.98082807651199
"24","201881 - control",90.1416666666666,115.639904450795,50,-272.216824989185,452.500158322518,0.779503123033299,0.991402764380756
"25","201972 - control",34.3416666666666,115.639904450794,50,-328.016824989184,396.700158322518,0.296970728484813,0.999977929297848
