"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200272 - control",-92.5333333333331,14.6540139025726,72,-139.462441995052,-45.6042246716145,-6.31453838849495,6.94942141721278e-07
"2","200281 - control",-84.9666666666667,16.3836856146896,72,-137.435005212205,-32.4983281211282,-5.18605328891844,6.42590978177093e-05
"3","200434 - control",-77.7,14.6540139025726,72,-124.629108661719,-30.7708913382813,-5.30230150705395,4.09775291397851e-05
"4","200442 - control",-94.3999999999999,14.6540139025726,72,-141.329108661719,-47.4708913382812,-6.44192100728303,4.09503081666429e-07
"5","200497 - control",-83.0666666666666,16.3836856146896,72,-135.535005212205,-30.5983281211281,-5.07008426676529,0.000100188617105701
"6","200520 - control",-86.3666666666666,14.6540139025726,72,-133.295775328385,-39.437558004948,-5.89372080857004,3.90089021262696e-06
"7","200521 - control",-106.633333333333,14.6540139025726,72,-153.562441995052,-59.7042246716147,-7.27673209826923,1.20392092961552e-08
"8","200557 - control",-102.266666666667,14.6540139025726,72,-149.195775328385,-55.3375580049479,-6.97874775788996,4.28872370950018e-08
"9","200574 - control",-113.266666666667,14.6540139025726,72,-160.195775328385,-66.3375580049479,-7.72939533289116,1.66908087351203e-09
"10","200641 - control",-88.6,14.6540139025726,72,-135.529108661719,-41.6708913382813,-6.04612501319149,2.09735564016267e-06
"11","200656 - control",-79.0333333333334,14.6540139025726,72,-125.962441995052,-32.1042246716147,-5.39328909190258,2.87255935681463e-05
"12","200798 - control",-107,14.6540139025726,72,-153.929108661719,-60.0708913382812,-7.30175368410259,1.08134903253898e-08
"13","200815 - control",-121.5,14.6540139025726,72,-168.429108661718,-74.5708913382812,-8.29124366933146,7.49228457053164e-11
"14","200818 - control",-91.0333333333333,14.6540139025726,72,-137.962441995052,-44.1042246716146,-6.21217735554025,1.06074434258474e-06
"15","200855 - control",-92.5666666666666,14.6540139025726,72,-139.495775328385,-45.637558004948,-6.31681307811617,6.88426847528234e-07
"16","200909 - control",-109.733333333333,14.6540139025726,72,-156.662441995052,-62.8042246716146,-7.48827823304229,4.83286177743736e-09
"17","200912 - control",-101.5,14.6540139025726,72,-148.429108661719,-54.5708913382813,-6.926429896602,5.35311143190498e-08
"18","200945 - control",-93.9,14.6540139025726,72,-140.829108661719,-46.9708913382813,-6.4078006629648,4.71954307079692e-07
"19","201008 - control",-92.9666666666667,14.6540139025726,72,-139.895775328385,-46.037558004948,-6.34410935357076,6.14803567278166e-07
"20","201021 - control",-108.966666666667,14.6540139025726,72,-155.895775328385,-62.037558004948,-7.43596037175433,6.06389727320078e-09
"21","201071 - control",-94.5666666666666,14.6540139025726,72,-141.495775328385,-47.637558004948,-6.45329445538912,3.90562825414165e-07
"22","201081 - control",-101.566666666667,14.6540139025726,72,-148.495775328385,-54.637558004948,-6.93097927584443,5.25098460268936e-08
"23","201441 - control",-83.0333333333333,14.6540139025726,72,-129.962441995052,-36.1042246716146,-5.66625184644847,9.74852846069574e-06
"24","201450 - control",-92.7333333333333,14.6540139025726,72,-139.662441995052,-45.8042246716146,-6.32818652622225,6.56746134031216e-07
"25","201614 - control",-108.133333333333,14.6540139025726,72,-155.062441995052,-61.2042246716146,-7.37909313122394,7.75256925322765e-09
"26","201648 - control",-94.4333333333333,14.6540139025726,72,-141.362441995052,-47.5042246716146,-6.44419569690426,4.05643631129493e-07
"27","201649 - control",-105.766666666667,14.6540139025726,72,-152.695775328385,-58.837558004948,-7.21759016811762,1.5509815876058e-08
"28","201721 - control",-109.566666666667,14.6540139025726,72,-156.495775328385,-62.637558004948,-7.47690478493621,5.077652298624e-09
"29","201726 - control",-98.3333333333333,14.6540139025726,72,-145.262441995052,-51.4042246716146,-6.7103343825865,1.33213236552798e-07
"30","201811 - control",-104.366666666667,14.6540139025726,72,-151.295775328385,-57.437558004948,-7.12205320402655,2.3321153230782e-08
"31","201828 - control",-110.966666666667,14.6540139025726,72,-157.895775328385,-64.0375580049479,-7.57244174902728,3.34729532980305e-09
"32","201839 - control",-108.366666666667,14.6540139025726,72,-155.295775328385,-61.437558004948,-7.39501595857245,7.23788740053521e-09
"33","201903 - control",-87.0666666666666,14.6540139025726,72,-133.995775328385,-40.137558004948,-5.94148929061557,3.21321334195712e-06
"34","201937 - control",-115.766666666667,14.6540139025726,72,-162.695775328385,-68.837558004948,-7.89999705448235,7.60447260717001e-10
"35","201975 - control",-109.033333333333,14.6540139025726,72,-155.962441995052,-62.1042246716146,-7.44050975099676,5.94563531741699e-09
"36","202005 - control",-109.233333333333,14.6540139025726,72,-156.162441995052,-62.3042246716146,-7.45415788872406,5.60428548013192e-09
