"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200279 - control",5.18333333333334,5.3640041314843,62,-11.7848137458273,22.1514804124939,0.966317923379197,0.981377535276262
"2","200328 - control",6.68333333333334,5.36400413148429,62,-10.2848137458272,23.6514804124939,1.24595976615774,0.925540092672744
"3","200443 - control",8.48333333333335,5.3640041314843,62,-8.48481374582725,25.451480412494,1.581529977492,0.780770938304904
"4","200498 - control",-2.78333333333334,5.3640041314843,62,-19.751480412494,14.1848137458273,-0.518890974933524,0.999655341556478
"5","200505 - control",6.15,5.36400413148429,62,-10.8181470791606,23.1181470791606,1.14653155539204,0.95158327659941
"6","200539 - control",12.75,5.3640041314843,62,-4.2181470791606,29.7181470791606,2.37695566361764,0.28853097173987
"7","200566 - control",11.0166666666667,5.3640041314843,62,-5.95148041249391,27.9848137458273,2.0538139786291,0.480232032332522
"8","200596 - control",3.18333333333338,5.36400413148429,62,-13.7848137458272,20.151480412494,0.593462133007811,0.999145803027855
"9","200621 - control",9.68333333333334,5.3640041314843,62,-7.28481374582726,26.6514804124939,1.80524345171483,0.644534031797117
"10","200662 - control",10.9166666666667,5.3640041314843,62,-6.05148041249394,27.8848137458273,2.03517118911052,0.492423081045839
"11","200723 - control",1.18333333333334,5.36400413148429,62,-15.7848137458272,18.1514804124939,0.22060634263641,0.999999170127457
"12","200810 - control",21.75,5.3640041314843,62,4.78185292083941,38.7181470791606,4.05480672028891,0.00361803840244257
"13","200926 - control",3.78333333333334,5.3640041314843,62,-13.1848137458273,20.7514804124939,0.705318870119221,0.997337075451173
"14","200955 - control",12.8833333333333,5.3640041314843,62,-4.08481374582727,29.8514804124939,2.40181271630906,0.275877345766668
"15","201090 - control",3.38333333333333,5.3640041314843,62,-13.5848137458273,20.3514804124939,0.63074771204494,0.998718576637895
"16","201187 - control",6.51666666666666,5.36400413148429,62,-10.4514804124939,23.4848137458272,1.21488845029346,0.93449038921433
"17","201303 - control",5.45,5.3640041314843,62,-11.5181470791606,22.4181470791606,1.01603202876205,0.975132935898315
"18","201809 - control",11.3833333333333,5.3640041314843,62,-5.58481374582727,28.3514804124939,2.12217087353052,0.436256652649103
"19","201831 - control",11.6166666666667,5.3640041314843,62,-5.35148041249393,28.5848137458273,2.16567071574051,0.409023886317291
"20","201862 - control",5.88333333333333,5.3640041314843,62,-11.0848137458273,22.8514804124939,1.09681745000918,0.961881416345047
"21","201864 - control",14.85,5.3640041314843,62,-2.11814707916061,31.8181470791606,2.7684542435076,0.130757831563231
"22","201866 - control",5.81666666666667,5.3640041314843,62,-11.1514804124939,22.7848137458273,1.08438892366347,0.964190974109216
"23","201867 - control",12.15,5.3640041314843,62,-4.8181470791606,29.1181470791606,2.26509892650622,0.349622861295365
"24","201873 - control",15.5166666666667,5.3640041314843,62,-1.45148041249395,32.4848137458273,2.89273950696473,0.0981927040672076
"25","201878 - control",6.01666666666667,5.3640041314843,62,-10.9514804124939,22.9848137458273,1.12167450270061,0.956948272903136
"26","201882 - control",3.85,6.08220898432734,62,-15.390070306154,23.090070306154,0.632993705070098,0.998688077554955
"27","201883 - control",1.55,5.3640041314843,62,-15.4181470791606,18.5181470791606,0.28896323753783,0.999994276165127
"28","201884 - control",12.5833333333333,5.3640041314843,62,-4.38481374582725,29.5514804124939,2.34588434775336,0.304832771000933
"29","201886 - control",7.95,5.3640041314843,62,-9.0181470791606,24.9181470791606,1.48210176672629,0.832487101474849
"30","201894 - control",4.28333333333332,5.3640041314843,62,-12.6848137458273,21.2514804124939,0.798532817712066,0.994131863381705
