"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200279 - control",39.1916666666668,77.6777262001498,62,-206.529076761282,284.912410094615,0.504541888438943,0.999715447135307
"2","200328 - control",61.8250000000001,77.6777262001498,62,-183.895743427948,307.545743427949,0.795916706427497,0.994251169693456
"3","200443 - control",74.5583333333336,77.6777262001498,62,-171.162410094615,320.279076761282,0.959841861761265,0.982094668498473
"4","200498 - control",-88.0083333333337,77.6777262001499,62,-333.729076761282,157.712410094615,-1.1329931711256,0.95455977799193
"5","200505 - control",52.025,77.6777262001498,62,-193.695743427948,297.745743427948,0.669754414102555,0.998098044392199
"6","200539 - control",119.258333333333,77.6777262001499,62,-126.462410094615,364.979076761282,1.53529639920257,0.805650613473099
"7","200566 - control",64.1249999999999,77.6777262001498,62,-181.595743427949,309.845743427948,0.82552622401396,0.992782787328574
"8","200596 - control",7.79166666666741,77.6777262001497,62,-237.929076761281,253.512410094616,0.100307604867203,0.999999997198757
"9","200621 - control",69.325,77.6777262001498,62,-176.395743427948,315.045743427949,0.892469481165971,0.988377969906796
"10","200662 - control",77.5916666666665,77.6777262001498,62,-168.129076761282,323.312410094615,0.998892095099932,0.977438558687233
"11","200723 - control",-17.5083333333333,77.6777262001497,62,-263.229076761281,228.212410094615,-0.225397088583928,0.99999903173655
"12","200810 - control",320.858333333334,77.6777262001498,62,75.1375899053849,566.579076761282,4.13063498417278,0.00282784547156101
"13","200926 - control",20.1583333333334,77.6777262001498,62,-225.562410094615,265.879076761282,0.259512402324857,0.999997342293295
"14","200955 - control",135.058333333333,77.6777262001498,62,-110.662410094615,380.779076761282,1.73870091131829,0.687225313135373
"15","201090 - control",27.2916666666666,77.6777262001498,62,-218.429076761282,273.012410094615,0.351344819187228,0.999977104238813
"16","201187 - control",114.525,77.6777262001498,62,-131.195743427949,360.245743427948,1.47436087025651,0.836223771529872
"17","201303 - control",35.9916666666666,77.6777262001498,62,-209.729076761282,281.712410094615,0.463346037883858,0.999841608487818
"18","201809 - control",155.725,77.6777262001498,62,-89.9957434279487,401.445743427948,2.0047574461532,0.51244620225918
"19","201831 - control",198.958333333333,77.6777262001498,62,-46.7624100946152,444.679076761282,2.5613305520901,0.203194158338481
"20","201862 - control",53.4583333333333,77.6777262001498,62,-192.262410094615,299.179076761282,0.688206722163685,0.997729161928349
"21","201864 - control",194.291666666667,77.6777262001498,62,-51.429076761282,440.012410094615,2.5012532700306,0.228816088605567
"22","201866 - control",41.5916666666666,77.6777262001498,62,-204.129076761282,287.312410094615,0.535438776355254,0.999573215706346
"23","201867 - control",185.225,77.6777262001498,62,-60.4957434279487,430.945743427948,2.38453169345787,0.284637448639816
"24","201873 - control",204.391666666666,77.6777262001498,62,-41.3290767612821,450.112410094615,2.63127767334508,0.176024469079588
"25","201878 - control",24.125,77.6777262001498,62,-221.595743427949,269.845743427949,0.310578092075428,0.999990438818191
"26","201882 - control",23.225,88.078262543384,62,-255.39613389154,301.84613389154,0.263685946218118,0.999997021249237
"27","201883 - control",5.09166666666662,77.6777262001498,62,-240.629076761282,250.812410094615,0.0655486059613418,0.999999999871893
"28","201884 - control",126.525,77.6777262001498,62,-119.195743427948,372.245743427949,1.62884530983808,0.753946560716108
"29","201886 - control",71.9583333333334,77.6777262001498,62,-173.762410094615,317.679076761282,0.926370233185257,0.985474404993291
"30","201894 - control",72.9583333333333,77.6777262001498,62,-172.762410094615,318.679076761282,0.939243936483719,0.984237668300299
