"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200436 - control",-2.3,1.23607053616303,48,-6.16432185296179,1.56432185296179,-1.86073523533663,0.558193839979101
"2","200499 - control",-0.166666666666672,1.23607053616303,48,-4.03098851962846,3.69765518629512,-0.134835886618601,0.99999981716649
"3","200544 - control",-1.36666666666667,1.23607053616303,48,-5.23098851962846,2.49765518629512,-1.10565427027249,0.940601730807862
"4","200647 - control",-1.33333333333334,1.23607053616303,48,-5.19765518629513,2.53098851962845,-1.07868709294878,0.947267737326979
"5","200649 - control",-0.266666666666667,1.23607053616303,48,-4.13098851962846,3.59765518629512,-0.215737418589755,0.999996298565481
"6","200650 - control",-2.26666666666667,1.23607053616303,48,-6.13098851962846,1.59765518629512,-1.83376805801291,0.575766857775225
"7","200776 - control",0.633333333333331,1.23607053616303,48,-3.23098851962846,4.49765518629512,0.512376369150665,0.99917081395645
"8","200801 - control",0.833333333333332,1.23607053616303,48,-3.03098851962846,4.69765518629512,0.674179433092982,0.995784002382759
"9","200820 - control",0.133333333333338,1.23607053616303,48,-3.73098851962845,3.99765518629513,0.107868709294881,0.999999956394021
"10","200879 - control",-0.833333333333333,1.23607053616303,48,-4.69765518629512,3.03098851962846,-0.674179433092983,0.995784002382759
"11","200886 - control",-0.433333333333328,1.23607053616303,48,-4.29765518629512,3.43098851962846,-0.350573305208347,0.999920168632187
"12","200887 - control",-1.66666666666667,1.23607053616303,48,-5.53098851962846,2.19765518629513,-1.34835886618596,0.855679598116284
"13","200903 - control",-2.43333333333333,1.23607053616303,48,-6.29765518629512,1.43098851962846,-1.96860394463151,0.488372235656751
"14","200989 - control",-2.16666666666667,1.23607053616303,48,-6.03098851962846,1.69765518629512,-1.75286652604176,0.628219019671304
"15","201010 - control",-1.26666666666667,1.23607053616303,48,-5.13098851962846,2.59765518629512,-1.02475273830133,0.959039697571979
"16","201013 - control",-1.36666666666667,1.23607053616303,48,-5.23098851962846,2.49765518629512,-1.10565427027249,0.940601730807862
"17","201020 - control",-2.16666666666667,1.74806771629154,48,-7.63164304049996,3.29830970716663,-1.23946380707903,0.899395530724396
"18","201036 - control",-0.8,1.23607053616303,48,-4.66432185296179,3.06432185296179,-0.647212255769264,0.996673098252738
"19","201059 - control",-1.5,1.23607053616303,48,-5.36432185296179,2.36432185296179,-1.21352297956737,0.908462655096919
"20","201257 - control",-1,1.23607053616303,48,-4.8643218529618,2.86432185296179,-0.809015319711579,0.988196918469215
"21","201444 - control",-1.03333333333333,1.23607053616303,48,-4.89765518629512,2.83098851962846,-0.835982497035298,0.985877077798256
"22","201445 - control",-0.533333333333333,1.23607053616303,48,-4.39765518629512,3.33098851962846,-0.431474837179508,0.999709879554968
"23","201615 - control",-0.399999999999999,1.23607053616303,48,-4.26432185296179,3.46432185296179,-0.323606127884631,0.999951680854784
"24","201949 - control",-2.43333333333333,1.23607053616303,48,-6.29765518629512,1.43098851962846,-1.96860394463151,0.488372235656751
