"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200271 - control",-17.9666666666644,95.4862425892313,70,-323.225839624227,287.292506290899,-0.188159740916338,0.99999993072517
"2","200276 - control",-124.533333333333,95.4862425892313,70,-429.792506290897,180.72583962423,-1.30420184056313,0.925713033790011
"3","200278 - control",-41.5666666666665,95.4862425892312,70,-346.825839624229,263.692506290896,-0.43531576423507,0.999955086833334
"4","200308 - control",-76.6666666666666,95.4862425892313,70,-381.92583962423,228.592506290896,-0.802907985357389,0.996217688724238
"5","200317 - control",-25.6666666666667,95.4862425892314,70,-330.92583962423,279.592506290897,-0.268799629880517,0.999998885226886
"6","200432 - control",146.633333333333,95.4862425892312,70,-158.62583962423,451.892506290896,1.53564879460311,0.83420481933931
"7","200437 - control",34.7666666666668,95.4862425892312,70,-270.492506290896,340.025839624229,0.364101316838157,0.999988446842902
"8","200464 - control",130.8,95.4862425892313,70,-174.459172957563,436.059172957563,1.36983084110539,0.904184873339998
"9","200465 - control",-51.0333333333334,95.4862425892312,70,-356.292506290896,254.225839624229,-0.53445744590529,0.999791956912028
"10","200509 - control",98.6333333333332,95.4862425892313,70,-206.62583962423,403.892506290896,1.0329585776837,0.980553458625546
"11","200542 - control",-167,95.4862425892313,70,-472.259172957563,138.259172957563,-1.74894304636545,0.715041905590651
"12","200559 - control",21.0000000000001,95.4862425892313,70,-284.259172957563,326.259172957563,0.219926969902242,0.999999765823704
"13","200646 - control",76.5000000000002,106.756864672778,70,-264.790130744238,417.790130744239,0.716581554118146,0.998275570202352
"14","200651 - control",-134.1,95.4862425892313,70,-439.359172957563,171.159172957563,-1.4043907935186,0.891432379005356
"15","200785 - control",-15.5000000000002,95.4862425892313,70,-320.759172957563,289.759172957563,-0.162327049213561,0.999999978192941
"16","200790 - control",-131.7,95.4862425892313,70,-436.959172957563,173.559172957563,-1.37925628267263,0.900804107361348
"17","200791 - control",177,95.4862425892313,70,-128.259172957563,482.259172957563,1.85367017489032,0.648018561219097
"18","200891 - control",-102.2,95.4862425892312,70,-407.459172957563,203.059172957563,-1.07031125352424,0.975848130242403
"19","200892 - control",-120.933333333333,95.4862425892312,70,-426.192506290896,184.325839624229,-1.26650007429418,0.93651145651096
"20","200944 - control",138.633333333334,95.4862425892313,70,-166.625839624229,443.892506290896,1.45186709178321,0.872321356120995
"21","200993 - control",90.9333333333334,95.4862425892313,70,-214.32583962423,396.192506290896,0.952318688719548,0.98832502573943
"22","201007 - control",-140.166666666666,95.4862425892312,70,-445.425839624229,165.092506290896,-1.46792525149036,0.865444289125534
"23","201028 - control",-44.1666666666669,95.4862425892314,70,-349.42583962423,261.092506290896,-0.462544817651542,0.999929087061702
"24","201044 - control",-21.3999999999999,95.4862425892313,70,-326.659172957563,283.859172957563,-0.224116055043236,0.999999728726024
"25","201054 - control",-55.2666666666666,95.4862425892313,70,-360.525839624229,249.992506290896,-0.578791930314152,0.999626487946289
"26","201070 - control",-192.45,106.756864672778,70,-533.740130744239,148.840130744239,-1.80269438026192,0.681133015857714
"27","201082 - control",-91.2333333333332,95.4862425892313,70,-396.492506290896,214.02583962423,-0.955460502575293,0.988076768944352
"28","201107 - control",-123.5,95.4862425892312,70,-428.759172957562,181.759172957563,-1.29338003728223,0.928928133361136
"29","201248 - control",-41.1666666666667,95.4862425892313,70,-346.42583962423,264.092506290896,-0.431126679094077,0.999958249558885
"30","201293 - control",7.16666666666665,95.4862425892313,70,-298.092506290896,312.42583962423,0.0750544421094949,0.999999999949198
"31","201461 - control",21.2666666666667,95.4862425892313,70,-283.992506290896,326.52583962423,0.222719693329572,0.999999741621517
"32","201620 - control",77.3333333333335,95.4862425892314,70,-227.92583962423,382.592506290897,0.809889793925715,0.995988745483649
"33","201653 - control",-86.7,95.4862425892313,70,-391.959172957563,218.559172957563,-0.907984204310683,0.991417955146952
"34","201842 - control",-10.5,95.4862425892313,70,-315.759172957563,294.759172957563,-0.109963484951121,0.999999998974301
"35","201995 - control",-140.466666666667,95.4862425892313,70,-445.72583962423,164.792506290896,-1.4710670653461,0.864074620239478
