"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200470 - control",-18.1499999999997,17.6648581250221,72,-74.5728906534019,38.2728906534024,-1.02746367231166,0.981223405036577
"2","200487 - control",24.9500000000001,17.6648581250221,72,-31.472890653402,81.3728906534022,1.41240873962405,0.888439930855178
"3","200552 - control",-3.84999999999993,17.6648581250221,72,-60.272890653402,52.5728906534022,-0.217946839581261,0.999999782682222
"4","200565 - control",-4.58333333333333,17.6648581250221,72,-61.0062239867354,51.8395573200687,-0.259460523311029,0.999999156183375
"5","200570 - control",-12.3833333333334,17.6648581250221,72,-68.8062239867355,44.0395573200687,-0.701015159345802,0.998526829323229
"6","200598 - control",-15.7833333333333,17.6648581250221,72,-72.2062239867354,40.6395573200688,-0.893487693001981,0.992295237698876
"7","200620 - control",11.25,17.6648581250221,72,-45.1728906534021,67.6728906534021,0.63685764812707,0.999255963073098
"8","200642 - control",10.4833333333334,17.6648581250221,72,-45.9395573200687,66.9062239867355,0.593456978773229,0.999553350539782
"9","200705 - control",2.91666666666666,17.6648581250221,72,-53.5062239867354,59.3395573200688,0.165111242107018,0.999999975191101
"10","200718 - control",7.01666666666675,17.6648581250221,72,-49.4062239867353,63.4395573200688,0.39721047386889,0.99997765210743
"11","200722 - control",-7.34999999999999,17.6648581250221,72,-63.7728906534021,49.0728906534021,-0.416080330109687,0.999968213405483
"12","200828 - control",18.1166666666667,17.6648581250221,72,-38.3062239867354,74.5395573200688,1.0255766866876,0.981435471307354
"13","200847 - control",18.6833333333337,17.6648581250221,72,-37.7395573200683,75.1062239867357,1.05765544229698,0.977575087692011
"14","200882 - control",-12.9000000000002,20.0300663760203,72,-76.8775443944112,51.0775443944109,-0.644031814864273,0.99919367162735
"15","200904 - control",20.35,17.6648581250221,72,-36.0728906534021,76.7728906534021,1.15200472350097,0.962741892215253
"16","200920 - control",1.61666666666665,17.6648581250221,72,-54.8062239867354,58.0395573200687,0.0915188027678894,0.999999999758941
"17","200991 - control",3.95,17.6648581250221,72,-52.4728906534021,60.3728906534021,0.223607796453505,0.999999734599224
"18","201019 - control",-10.8166666666667,17.6648581250221,72,-67.2395573200688,45.6062239867355,-0.612326835014028,0.9994394832469
"19","201097 - control",-14.3833333333333,17.6648581250221,72,-70.8062239867354,42.0395573200688,-0.814234296790612,0.99585262109257
"20","201150 - control",6.88333333333339,17.6648581250221,72,-49.5395573200687,63.3062239867355,0.389662531372567,0.999980687603416
"21","201151 - control",-17.4166666666666,17.6648581250221,72,-73.8395573200687,39.0062239867354,-0.98594998858191,0.98548285542251
"22","201184 - control",4.18333333333331,17.6648581250221,72,-52.2395573200688,60.6062239867354,0.236816695822066,0.999999585040064
"23","201263 - control",-4.15000000000002,17.6648581250221,72,-60.5728906534021,52.2728906534021,-0.234929710197988,0.999999610088453
"24","201290 - control",4.58333333333333,17.6648581250221,72,-51.8395573200688,61.0062239867354,0.259460523311029,0.999999156183375
"25","201814 - control",12.2833333333333,17.6648581250221,72,-44.1395573200687,68.7062239867353,0.695354202473558,0.998608686446812
"26","201819 - control",18.9166666666667,17.6648581250221,72,-37.5062239867354,75.3395573200688,1.07086434166552,0.975821867009129
"27","201827 - control",2.45000000000003,17.6648581250221,72,-53.9728906534021,58.8728906534021,0.138693443369897,0.999999993677086
"28","201832 - control",2.05000000000003,17.6648581250221,72,-54.3728906534021,58.4728906534021,0.116049615880935,0.999999998440384
"29","201833 - control",-14.45,17.6648581250221,72,-70.8728906534021,41.9728906534021,-0.818008268038774,0.995720818315874
"30","201850 - control",-4.11666666666667,17.6648581250221,72,-60.5395573200688,52.3062239867354,-0.233042724573906,0.999999633813379
"31","201853 - control",-10.0166666666666,17.6648581250221,72,-66.4395573200687,46.4062239867355,-0.567039180036102,0.999679661048971
"32","201865 - control",1.91666666666663,17.6648581250221,72,-54.5062239867354,58.3395573200686,0.10850167338461,0.999999999080674
"33","201872 - control",7.38333333333334,17.6648581250221,72,-49.0395573200688,63.8062239867354,0.417967315733768,0.99996710482753
"34","201900 - control",79.7166666666662,17.6648581250221,72,23.2937760132642,136.139557320068,4.51272611998781,0.000765175678838159
"35","201939 - control",18.55,17.6648581250221,72,-37.8728906534021,74.9728906534021,1.05010749980064,0.978533183920355
