"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200267 - Control",-31.5666666666667,16.3281092290918,39,-82.4369648833253,19.303631549992,-1.93327140477627,0.483978918123276
"2","200302 - Control",-24.4,16.3281092290918,39,-75.2702982166587,26.4702982166587,-1.49435551034449,0.75656077075464
"3","200315 - Control",-21.3,16.3281092290918,39,-72.1702982166587,29.5702982166587,-1.30449886763679,0.852614149255609
"4","200327 - Control",-41.4333333333333,16.3281092290918,39,-92.303631549992,9.43696488332537,-2.53754631059864,0.179045278703712
"5","200440 - Control",-32.9666666666667,16.3281092290918,39,-83.8369648833254,17.903631549992,-2.0190131143862,0.4311421902584
"6","200508 - Control",-32.7333333333333,16.3281092290917,39,-83.603631549992,18.1369648833253,-2.00472282945122,0.43980551479921
"7","200514 - Control",-2.13333333333326,16.3281092290918,39,-53.003631549992,48.7369648833254,-0.130654033691317,0.999999537324638
"8","200593 - Control",-29.5666666666666,16.3281092290918,39,-80.4369648833253,21.3036315499921,-1.81078324819066,0.561870161678207
"9","200624 - Control",-4.68333333333342,18.2553810901454,39,-61.5580557574009,52.191389090734,-0.256545361075019,0.999974420296878
"10","200735 - Control",-13.1666666666667,16.3281092290918,39,-64.0369648833253,37.703631549992,-0.806380364188625,0.983733169322771
"11","200931 - Control",-0.833333333333385,16.3281092290917,39,-51.7036315499921,50.0369648833253,-0.0510367319106757,0.999999998338544
"12","200994 - Control",-34.7,16.3281092290917,39,-85.5702982166587,16.1702982166587,-2.1251695167604,0.369056854698535
"13","201024 - Control",-43.6,16.3281092290918,39,-94.4702982166587,7.27029821665869,-2.67024181356639,0.136848192466106
"14","201058 - Control",-18.4333333333333,16.3281092290917,39,-69.303631549992,32.4369648833254,-1.12893250986408,0.919140208628298
"15","201075 - Control",-43.0333333333333,23.0914335196909,39,-114.974798993296,28.9081323266292,-1.86360596870858,0.528074056652833
"16","201258 - Control",-35.9666666666666,16.3281092290918,39,-86.8369648833254,14.9036315499921,-2.20274534926462,0.326671716100207
"17","201297 - Control",-28.3333333333334,23.0914335196908,39,-100.274798993296,43.6081323266292,-1.22700625360364,0.884823754648105
"18","201443 - Control",-8.96666666666666,16.3281092290917,39,-59.8369648833253,41.903631549992,-0.549155235358836,0.997926533690576
"19","201947 - Control",-28.2,16.3281092290917,39,-79.0702982166587,22.6702982166587,-1.72708300785716,0.615419720209793
"20","201997 - Control",-38.1666666666667,16.3281092290917,39,-89.0369648833253,12.703631549992,-2.3374823215088,0.260093086129175
"21","202001 - Control",-44.1666666666667,16.3281092290917,39,-95.0369648833254,6.70363154999201,-2.70494679126564,0.127230718990492
