"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200274 - control",1.84166666666668,2.65846264053327,50,-6.48864558257046,10.1719789159038,0.692756271458173,0.995655710800358
"2","200307 - control",1.80833333333334,2.65846264053327,50,-6.5219789159038,10.1386455825705,0.680217696409155,0.996098408594326
"3","200449 - control",-0.858333333333336,2.65846264053327,50,-9.18864558257048,7.47197891590381,-0.322868307512179,0.999962186606219
"4","200517 - control",0.641666666666669,2.65846264053326,50,-7.68864558257046,8.9719789159038,0.241367569693571,0.999994235904731
"5","200529 - control",1.14166666666667,2.65846264053327,50,-7.18864558257046,9.4719789159038,0.429446195428822,0.999767218286877
"6","200567 - control",2.80833333333334,2.65846264053327,50,-5.5219789159038,11.1386455825705,1.05637494787965,0.955782624790669
"7","200600 - control",0.941666666666665,2.65846264053327,50,-7.38864558257047,9.2719789159038,0.35421474513472,0.999931509020845
"8","200607 - control",0.0416666666666676,2.65846264053327,50,-8.28864558257047,8.3719789159038,0.0156732188112712,1
"9","200669 - control",-0.958333333333337,2.65846264053327,50,-9.28864558257048,7.37197891590381,-0.36048403265923,0.999923382504925
"10","200724 - control",-0.158333333333332,2.65846264053327,50,-8.48864558257047,8.17197891590381,-0.0595582314828286,0.999999999404193
"11","200736 - control",2.025,3.01441329283163,50,-7.42068623785568,11.4706862378557,0.671772515340056,0.996375857003021
"12","200885 - control",3.60833333333333,2.65846264053327,50,-4.7219789159038,11.9386455825705,1.35730074905605,0.85850263714798
"13","200938 - control",5.74166666666666,2.65846264053327,50,-2.58864558257047,14.0719789159038,2.15976955219312,0.378665693283571
"14","201302 - control",-1.125,2.65846264053327,50,-9.45531224923713,7.20531224923714,-0.423176907904311,0.999787843517768
"15","201350 - control",-0.625000000000002,2.65846264053327,50,-8.95531224923714,7.70531224923713,-0.235098282169063,0.999995142216878
"16","201703 - control",3.10833333333333,2.65846264053327,50,-5.22197891590381,11.4386455825705,1.1692221233208,0.927425273003346
"17","201812 - control",1.075,3.89159082724105,50,-11.1193284975719,13.2693284975719,0.276236646585511,0.999986172778468
"18","201826 - control",0.541666666666667,2.65846264053327,50,-7.78864558257047,8.8719789159038,0.20375184454652,0.999998087374913
"19","201838 - control",-0.724999999999999,2.65846264053327,50,-9.05531224923714,7.60531224923714,-0.272714007316112,0.999987274801067
"20","201847 - control",-1.525,2.65846264053327,50,-9.85531224923714,6.80531224923714,-0.573639808492512,0.99859608623703
"21","201848 - control",0.908333333333333,2.65846264053327,50,-7.42197891590381,9.23864558257047,0.341676170085704,0.999945619302363
"22","201871 - control",0.741666666666667,2.65846264053327,50,-7.58864558257047,9.0719789159038,0.278983294840621,0.999985258888793
"23","201877 - control",-1.49166666666667,2.65846264053327,50,-9.82197891590381,6.83864558257047,-0.561101233443495,0.998773147487029
"24","201881 - control",1.94166666666667,2.65846264053327,50,-6.38864558257047,10.2719789159038,0.73037199660522,0.994085666132075
"25","201972 - control",2.70833333333333,2.65846264053327,50,-5.6219789159038,11.0386455825705,1.0187592227326,0.963217845080603
