"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200290 - control",-25.7666666666673,101.343239960613,70,-350.60293401198,299.069600678645,-0.254251459462729,0.999999417804332
"2","200312 - control",-106.799999999999,101.343239960612,70,-431.636267345311,218.036267345312,-1.0538443416799,0.979332915620554
"3","200438 - control",0.150000000000009,113.305186806001,70,-363.027987670706,363.327987670706,0.00132385819421344,1
"4","200462 - control",-24.2333333333336,101.343239960613,70,-349.069600678646,300.602934011979,-0.23912135967581,0.999999641214951
"5","200477 - control",26.5999999999999,101.343239960613,70,-298.236267345312,351.436267345312,0.262474339781697,0.999999251844984
"6","200525 - control",125.733333333333,101.343239960612,70,-199.102934011979,450.569600678645,1.24066818252703,0.945876659706704
"7","200555 - control",118.366666666667,101.343239960612,70,-206.469600678645,443.202934011979,1.16797792050728,0.961654418239241
"8","200578 - control",44.6333333333333,101.343239960612,70,-280.202934011979,369.469600678645,0.440417469884329,0.999957973719382
"9","200588 - control",118.400000000001,143.320984407129,70,-340.987854830392,577.787854830394,0.826117686044243,0.995789882766211
"10","200667 - control",88.8000000000001,101.343239960612,70,-236.036267345312,413.636267345312,0.876230126790032,0.993726129626222
"11","200704 - control",-38.9666666666666,101.343239960612,70,-363.802934011979,285.869600678645,-0.384501883715295,0.999985219788556
"12","200716 - control",70.8666666666666,101.343239960612,70,-253.969600678645,395.702934011979,0.699273742325677,0.998690103220468
"13","200719 - control",17.1333333333339,101.343239960613,70,-307.702934011978,341.969600678646,0.169062419358142,0.999999977012436
"14","200797 - control",40.3333333333336,101.343239960613,70,-284.502934011979,365.169600678646,0.397987407438418,0.999980709292934
"15","200806 - control",-132.266666666666,101.343239960612,70,-457.102934011979,192.569600678646,-1.30513556422779,0.928558546079652
"16","200880 - control",-58.2666666666667,101.343239960612,70,-383.102934011979,266.569600678645,-0.574943791902768,0.999685875977022
"17","200881 - control",-43.9000000000002,101.343239960613,70,-368.736267345312,280.936267345312,-0.433181335203632,0.999962982305531
"18","200952 - control",-33.7333333333333,101.343239960612,70,-358.569600678645,291.102934011979,-0.332862195312129,0.999995180155111
"19","200976 - control",299.149999999999,113.305186806001,70,-64.027987670707,662.327987670706,2.64021452532617,0.192537269988501
"20","200983 - control",24.1333333333331,101.343239960612,70,-300.702934011979,348.969600678645,0.238134614037529,0.999999652742011
"21","200988 - control",80.1666666666666,101.343239960612,70,-244.669600678645,405.002934011979,0.791041086685444,0.996877151995575
"22","201014 - control",10.8333333333334,101.343239960613,70,-314.002934011979,335.669600678646,0.106897444146682,0.999999999403526
"23","201078 - control",-19.7999999999999,101.343239960612,70,-344.636267345312,305.036267345312,-0.195375636378858,0.999999927504568
"24","201088 - control",162.4,101.343239960613,70,-162.436267345312,487.236267345312,1.60247491656195,0.805422966536792
"25","201154 - control",-58.8333333333335,101.343239960612,70,-383.669600678645,266.002934011978,-0.580535350519673,0.999662509994374
"26","201267 - control",32.5666666666666,101.343239960612,70,-292.269600678645,357.402934011979,0.321350162865563,0.999996338286388
"27","201304 - control",-26.8000000000002,101.343239960612,70,-351.636267345312,298.036267345312,-0.264447831058254,0.999999206385528
"28","201315 - control",173.5,101.343239960612,70,-151.336267345313,498.336267345312,1.7120036824107,0.743611676867411
"29","201844 - control",94.1666666666658,101.343239960612,70,-230.669600678646,419.002934011977,0.929185476044227,0.990741186954974
"30","201854 - control",107.2,101.343239960612,70,-217.636267345312,432.036267345312,1.05779132423301,0.978849825878678
"31","201861 - control",101.6,101.343239960612,70,-223.236267345312,426.436267345311,1.00253356848949,0.984883476469252
"32","201897 - control",120.433333333334,101.343239960612,70,-204.402934011979,445.269600678646,1.18837066369834,0.957610337022261
"33","201902 - control",-10.8999999999996,101.343239960613,70,-335.736267345312,313.936267345313,-0.107555274572196,0.999999999373599
"34","201914 - control",275.666666666667,101.343239960612,70,-49.1696006786455,600.502934011979,2.7201288095171,0.162482949785052
"35","201938 - control",-42.5666666666667,101.343239960612,70,-367.402934011979,282.269600678645,-0.42002472669327,0.999970785465748
"36","201982 - control",-52.6,101.343239960612,70,-377.436267345312,272.236267345312,-0.519028205733735,0.999853764106896
