"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200279 - control",0.399999999999998,1.57230075351321,62,-4.57371549020502,5.37371549020502,0.254404253833895,0.999997694532038
"2","200328 - control",0.0333333333333352,1.57230075351321,62,-4.94038215687168,5.00704882353835,0.0212003544861592,1
"3","200443 - control",0.533333333333335,1.57230075351321,62,-4.44038215687169,5.50704882353836,0.339205671778529,0.999982140028946
"4","200498 - control",-0.870000000000014,1.57230075351321,62,-5.84371549020504,4.10371549020501,-0.553329252088732,0.99946670412505
"5","200505 - control",0.866666666666665,1.57230075351321,62,-4.10704882353835,5.84038215687168,0.551209216640107,0.999480375392851
"6","200539 - control",3.8,1.57230075351321,62,-1.17371549020502,8.77371549020502,2.41684041142201,0.26839759908274
"7","200566 - control",0.833333333333332,1.57230075351321,62,-4.14038215687169,5.80704882353835,0.530008862153949,0.999601789502251
"8","200596 - control",-0.766666666666656,1.57230075351321,62,-5.74038215687167,4.20704882353836,-0.487608153181627,0.999774849726819
"9","200621 - control",1.63333333333333,1.57230075351321,62,-3.34038215687169,6.60704882353835,1.03881736982174,0.971804697760325
"10","200662 - control",-0.366666666666666,1.57230075351321,62,-5.34038215687169,4.60704882353835,-0.233203899347737,0.999998763816691
"11","200723 - control",-1.73333333333332,1.57230075351321,62,-6.70704882353834,3.24038215687169,-1.10241843328021,0.960806731784563
"12","200810 - control",2,1.57230075351321,62,-2.97371549020502,6.97371549020502,1.27202126916948,0.917446842887681
"13","200926 - control",2.23333333333333,1.57230075351321,62,-2.74038215687169,7.20704882353835,1.42042375057258,0.861015623485658
"14","200955 - control",0.700000000000002,1.57230075351321,62,-4.27371549020502,5.67371549020502,0.445207444209318,0.999879863965595
"15","201090 - control",0.233333333333331,1.57230075351321,62,-4.74038215687169,5.20704882353835,0.148402481403104,0.999999952320627
"16","201187 - control",-0.133333333333336,1.57230075351321,62,-5.10704882353835,4.84038215687168,-0.0848014179446334,0.999999999170615
"17","201303 - control",-1.36666666666667,1.57230075351321,62,-6.34038215687169,3.60704882353835,-0.869214533932477,0.990095001843845
"18","201809 - control",2.3,1.57230075351321,62,-2.67371549020502,7.27371549020501,1.4628244595449,0.841710632126704
"19","201831 - control",2.66666666666667,1.57230075351321,62,-2.30704882353835,7.64038215687169,1.69602835889264,0.713791036578792
"20","201862 - control",0.366666666666667,1.57230075351321,62,-4.60704882353835,5.34038215687169,0.233203899347738,0.999998763816691
"21","201864 - control",4.56666666666666,1.57230075351321,62,-0.407048823538357,9.54038215687168,2.90444856460364,0.0955022283214615
"22","201866 - control",0.633333333333334,1.57230075351321,62,-4.34038215687169,5.60704882353835,0.402806735237002,0.999940172381065
"23","201867 - control",2,1.57230075351321,62,-2.97371549020502,6.97371549020502,1.27202126916948,0.917446842887681
"24","201873 - control",4.93333333333333,1.57230075351321,62,-0.0403821568716873,9.90704882353835,3.13765246395138,0.0534585753657504
"25","201878 - control",0.833333333333333,1.57230075351321,62,-4.14038215687169,5.80704882353835,0.530008862153949,0.999601789502251
"26","201882 - control",-0.0999999999999993,1.78282147714089,62,-5.73966326245951,5.53966326245951,-0.0560908656767861,0.999999999958671
"27","201883 - control",0.3,1.57230075351321,62,-4.67371549020502,5.27371549020502,0.190803190375422,0.999999707774939
"28","201884 - control",0.700000000000003,1.57230075351321,62,-4.27371549020502,5.67371549020502,0.44520744420932,0.999879863965595
"29","201886 - control",0.933333333333335,1.57230075351321,62,-4.04038215687169,5.90704882353835,0.593609925612424,0.999144378736085
"30","201894 - control",-1.4,1.57230075351321,62,-6.37371549020502,3.57371549020502,-0.890414888418633,0.988538317202056
