"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200272 - control",-14.8666666666666,5.59301675482499,72,-32.7781612768851,3.04482794355185,-2.65807654765944,0.184953537706201
"2","200281 - control",-16.1,6.25318283154197,72,-36.1256597635348,3.92565976353477,-2.57468883186803,0.219500850336149
"3","200434 - control",-15.7333333333333,5.59301675482499,72,-33.6448279435518,2.17816127688514,-2.8130316827248,0.131638908541385
"4","200442 - control",-17.8,5.59301675482499,72,-35.7114946102185,0.111494610218486,-3.18254008172678,0.0527300120062579
"5","200497 - control",-20.25,6.25318283154198,72,-40.2756597635348,-0.224340236465185,-3.23835085995823,0.0453951953381682
"6","200520 - control",-13.3,5.59301675482499,72,-31.2114946102185,4.61149461021847,-2.3779653419644,0.317544949539679
"7","200521 - control",-23.6666666666667,5.59301675482499,72,-41.5781612768851,-5.75517205644819,-4.23146714986145,0.00210159662574017
"8","200557 - control",-19.4333333333333,5.59301675482499,72,-37.3448279435518,-1.52183872311484,-3.47457091319609,0.0233640934876005
"9","200574 - control",-17.4,5.59301675482499,72,-35.3114946102185,0.511494610218488,-3.11102232708124,0.0636170449131758
"10","200641 - control",-15.7333333333333,5.593016754825,72,-33.6448279435518,2.17816127688514,-2.8130316827248,0.131638908541385
"11","200656 - control",-14.2666666666667,5.59301675482499,72,-32.1781612768851,3.64482794355181,-2.55079991569113,0.230175180637128
"12","200798 - control",-20.5,5.593016754825,72,-38.4114946102185,-2.58850538978153,-3.66528492558422,0.0132218155313915
"13","200815 - control",-25.0333333333333,5.59301675482499,72,-42.9448279435517,-7.12183872311482,-4.47581947823373,0.000896037877616385
"14","200818 - control",-19.6,5.59301675482499,72,-37.5114946102185,-1.68850538978153,-3.50436997763174,0.0214153545233891
"15","200855 - control",-19.4333333333333,5.59301675482499,72,-37.3448279435518,-1.52183872311485,-3.47457091319609,0.0233640934876003
"16","200909 - control",-21.9333333333333,5.59301675482499,72,-39.8448279435518,-4.02183872311486,-3.92155687973076,0.00590075956135883
"17","200912 - control",-15.3333333333333,5.59301675482499,72,-33.2448279435518,2.57816127688516,-2.74151392807925,0.154537746168378
"18","200945 - control",-17.2,5.59301675482499,72,-35.1114946102185,0.711494610218477,-3.07526344975846,0.0697486710349187
"19","201008 - control",-20.8,5.59301675482499,72,-38.7114946102185,-2.88850538978153,-3.71892324156838,0.0112100842930195
"20","201021 - control",-18.9333333333333,5.59301675482499,72,-36.8448279435518,-1.02183872311488,-3.38517371988917,0.0302090542926357
"21","201071 - control",-18.8333333333333,5.59301675482499,72,-36.7448279435518,-0.921838723114849,-3.36729428122778,0.0317766685031132
"22","201081 - control",-19.0666666666667,5.59301675482499,72,-36.9781612768851,-1.15517205644819,-3.40901297143768,0.0282267353327021
"23","201441 - control",-15.7,5.59301675482499,72,-33.6114946102185,2.21149461021848,-2.80707186983767,0.133439314230642
"24","201450 - control",-16.0333333333334,5.59301675482499,72,-33.9448279435518,1.87816127688512,-2.86666999870896,0.116285079481224
"25","201614 - control",-23.0666666666667,5.59301675482499,72,-40.9781612768852,-5.15517205644819,-4.12419051789314,0.00302402169387961
"26","201648 - control",-15.4666666666667,5.59301675482499,72,-33.3781612768851,2.44482794355181,-2.76535317962777,0.146587522135502
"27","201649 - control",-17.5666666666667,5.59301675482499,72,-35.4781612768851,0.344827943551792,-3.14082139151688,0.0588658851776942
"28","201721 - control",-19.4666666666667,5.59301675482499,72,-37.3781612768851,-1.55517205644819,-3.48053072608322,0.022961958365647
"29","201726 - control",-25.5333333333333,5.59301675482499,72,-43.4448279435518,-7.62183872311486,-4.56521667154067,0.000650973825361945
"30","201811 - control",-20.4666666666667,5.59301675482499,72,-38.3781612768852,-2.55517205644821,-3.65932511269709,0.0134647861241737
"31","201828 - control",-19.6333333333333,5.59301675482499,72,-37.5448279435518,-1.72183872311486,-3.51032979051887,0.0210437738462456
"32","201839 - control",-21.2,5.59301675482499,72,-39.1114946102185,-3.28850538978152,-3.79044099621392,0.00896690093306141
"33","201903 - control",-9.5,5.59301675482499,72,-27.4114946102185,8.41149461021848,-1.69854667283171,0.751650162823683
"34","201937 - control",-26.0333333333333,5.59301675482499,72,-43.9448279435518,-8.12183872311486,-4.6546138648476,0.000471133166384252
"35","201975 - control",-19,5.59301675482499,72,-36.9114946102185,-1.08850538978153,-3.39709334566342,0.0292028135436956
"36","202005 - control",-19.1333333333333,5.59301675482499,72,-37.0448279435518,-1.22183872311485,-3.42093259721194,0.0272800580890123
