"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200267 - Control",-39.5,101.624993000143,39,-356.113125723848,277.113125723848,-0.388683913611136,0.99970935663727
"2","200302 - Control",-100.733333333333,101.624993000143,39,-417.346459057182,215.879792390515,-0.991225980534053,0.955179571684669
"3","200315 - Control",-26.5666666666666,101.624993000143,39,-343.179792390515,290.046459057181,-0.261418632192468,0.99997141601542
"4","200327 - Control",-206.7,101.624993000143,39,-523.313125723848,109.913125723848,-2.0339484795803,0.422157999000539
"5","200440 - Control",-77.9,101.624993000143,39,-394.513125723848,238.713125723848,-0.766543718235632,0.987465377203632
"6","200508 - Control",-20.6,101.624993000143,39,-337.213125723848,296.013125723848,-0.202706041022516,0.999993660900599
"7","200514 - Control",-53.6666666666666,101.624993000143,39,-370.279792390515,262.946459057181,-0.528085317226943,0.998333418999463
"8","200593 - Control",-91.9666666666667,101.624993000143,39,-408.579792390515,224.646459057181,-0.904961111943564,0.971039024246272
"9","200624 - Control",17.7,113.62019628063,39,-336.284235843605,371.684235843605,0.155782163553764,0.999998677691983
"10","200735 - Control",-17.1,101.624993000143,39,-333.713125723848,299.513125723848,-0.168265694246846,0.999997906367349
"11","200931 - Control",59.5,101.624993000143,39,-257.113125723848,376.113125723848,0.585485895186394,0.997043211424128
"12","200994 - Control",-129.866666666667,101.624993000143,39,-446.479792390515,186.746459057181,-1.27790086702868,0.864164657174134
"13","201024 - Control",-208.4,101.624993000143,39,-525.013125723848,108.213125723848,-2.05067664801419,0.412185273688879
"14","201058 - Control",-82.9666666666666,101.624993000143,39,-399.579792390515,233.646459057181,-0.816400220234697,0.982677192760124
"15","201075 - Control",-186.9,143.719443376874,39,-634.658576424004,260.858576424004,-1.30045034692971,0.854405032723772
"16","201258 - Control",-95.5666666666666,101.624993000143,39,-412.179792390515,221.046459057181,-0.940385468627109,0.965106778716494
"17","201297 - Control",-43.1,143.719443376874,39,-490.858576424003,404.658576424003,-0.299889833882667,0.999935882006542
"18","201443 - Control",-153.766666666667,101.624993000143,39,-470.379792390515,162.846459057181,-1.51307923501111,0.745959513512839
"19","201947 - Control",-57.9,101.624993000143,39,-374.513125723848,258.713125723848,-0.569741736660373,0.997456497389822
"20","201997 - Control",-67.7,101.624993000143,39,-384.313125723848,248.913125723848,-0.66617470763225,0.99402788489913
"21","202001 - Control",-75.5,101.624993000143,39,-392.113125723848,241.113125723848,-0.742927480446601,0.989350280501945
