"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200268 - control",24.6333333333325,95.1368417288859,71,-280.172828440972,329.439495107637,0.258925279478278,0.999999329388447
"2","200294 - control",-148.566666666667,95.1368417288859,71,-453.372828440972,156.239495107638,-1.56161024443129,0.826495675812595
"3","200311 - control",-55.0666666666666,95.1368417288859,71,-359.872828440971,249.739495107638,-0.578815374422368,0.99967046062357
"4","200319 - control",-77.4999999999998,95.1368417288859,71,-382.306161774305,227.306161774305,-0.814616068723972,0.996181416887628
"5","200458 - control",-78.9999999999999,95.1368417288859,71,-383.806161774305,225.806161774305,-0.830382831344438,0.995645530387691
"6","200471 - control",50.6666666666666,95.136841728886,71,-254.139495107639,355.472828440972,0.532566204069006,0.99982289995802
"7","200527 - control",-105.9,95.1368417288858,71,-410.706161774304,198.906161774305,-1.11313344100476,0.971177001027996
"8","200545 - control",37.5,95.1368417288859,71,-267.306161774305,342.306161774305,0.3941690655116,0.999982129765952
"9","200553 - control",19.6000000000002,95.1368417288859,71,-285.206161774305,324.406161774305,0.206019031574066,0.999999889854119
"10","200561 - control",77.3666666666667,95.1368417288859,71,-227.439495107638,382.172828440972,0.813214578713267,0.996226341124885
"11","200577 - control",-48.0999999999998,95.1368417288859,71,-352.906161774305,256.706161774305,-0.505587521362878,0.9998802308543
"12","200587 - control",45.9,95.1368417288859,71,-258.906161774305,350.706161774305,0.482462936186199,0.999915962665747
"13","200589 - control",-108.9,95.1368417288859,71,-413.706161774304,195.906161774305,-1.14466696624569,0.965961804503416
"14","200660 - control",-68.6999999999994,95.1368417288858,71,-373.506161774304,236.106161774305,-0.722117728017247,0.998355577947545
"15","200663 - control",-50.0333333333334,95.136841728886,71,-354.839495107639,254.772828440972,-0.525909126518145,0.999838855357085
"16","200738 - control",159.166666666667,95.1368417288859,71,-145.639495107638,463.972828440971,1.67302870028257,0.766484249809374
"17","200775 - control",-138.666666666667,95.1368417288859,71,-443.472828440972,166.139495107638,-1.45754961113623,0.874336042970215
"18","200800 - control",76.4333333333339,95.136841728886,71,-228.372828440971,381.239495107639,0.803404148638317,0.996528966176153
"19","200814 - control",100.6,95.1368417288859,71,-204.206161774305,405.406161774305,1.05742421307912,0.978918251591267
"20","200874 - control",-12.5666666666666,95.1368417288859,71,-317.372828440972,292.239495107638,-0.13209043350922,0.999999996782697
"21","200910 - control",-4.16666666666677,106.366222635214,71,-344.950315510739,336.616982177405,-0.0391728366716235,1
"22","200915 - control",-128.2,95.1368417288859,71,-433.006161774305,176.606161774305,-1.34753264529566,0.915420128863471
"23","200951 - control",-80.1333333333336,95.1368417288859,71,-384.939495107639,224.672828440971,-0.842295496435458,0.995201695663134
"24","200973 - control",-14.0666666666666,95.1368417288859,71,-318.872828440971,290.739495107638,-0.147857196129684,0.999999992101804
"25","200984 - control",248.933333333333,95.1368417288859,71,-55.8728284409716,553.739495107638,2.61658184999167,0.201882670605696
"26","201103 - control",-64.0333333333331,95.1368417288859,71,-368.839495107638,240.772828440972,-0.673065577642473,0.999006152138633
"27","201155 - control",-22.0666666666665,106.366222635214,71,-362.850315510739,318.716982177406,-0.207459343012911,0.999999883603479
"28","201186 - control",2.46666666666669,95.1368417288859,71,-302.339495107638,307.272828440972,0.0259275651980966,1
"29","201238 - control",36.3000000000001,95.1368417288859,71,-268.506161774305,341.106161774305,0.38155565541523,0.999986102715224
"30","201291 - control",-74.0666666666666,106.366222635214,71,-414.850315510738,266.716982177405,-0.696336344674761,0.998731121488895
"31","201292 - control",-99.8000000000001,95.1368417288859,71,-404.606161774305,205.006161774305,-1.04901527301487,0.979934914889303
"32","201654 - control",76.5000000000001,95.1368417288859,71,-228.306161774305,381.306161774305,0.804104893643667,0.996508025409639
"33","201662 - control",-11.9333333333334,95.1368417288859,71,-316.739495107638,292.872828440972,-0.125433355958359,0.999999997869424
"34","201890 - control",-123.866666666667,95.1368417288859,71,-428.672828440972,180.939495107638,-1.30198421994765,0.929529322374988
"35","201945 - control",32.6000000000001,95.1368417288858,71,-272.206161774305,337.406161774305,0.342664307618086,0.999993969303114
"36","202006 - control",-123.833333333333,95.1368417288859,71,-428.639495107638,180.972828440972,-1.30163384744497,0.929631374550796
