"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200470 - control",0.325000000000054,5.11909391321198,72,-16.0257724809023,16.6757724809024,0.0634877979404235,0.999999999986478
"2","200487 - control",10.5250000000001,5.11909391321198,72,-5.82577248090224,26.8757724809024,2.05602791791647,0.512295200072049
"3","200552 - control",2.1583333333334,5.11909391321198,72,-14.1924391475689,18.5091058142357,0.421624094014551,0.999964861894718
"4","200565 - control",-3.57499999999999,5.11909391321198,72,-19.9257724809023,12.7757724809023,-0.698365777344541,0.99856562076727
"5","200570 - control",4.85833333333332,5.11909391321198,72,-11.492439147569,21.2091058142356,0.949061184596427,0.988605939051343
"6","200598 - control",-1.275,5.11909391321198,72,-17.6257724809023,15.0757724809023,-0.249067514997004,0.999999385737023
"7","200620 - control",8.25833333333332,5.11909391321198,72,-8.09243914756901,24.6091058142356,1.61324122458844,0.794289910874755
"8","200642 - control",-0.208333333333331,5.11909391321198,72,-16.5591058142357,16.142439147569,-0.0406973063720592,0.999999999999744
"9","200705 - control",0.924999999999996,5.11909391321198,72,-15.4257724809023,17.2757724809023,0.180696040291944,0.999999949735766
"10","200718 - control",7.25833333333336,5.11909391321198,72,-9.09243914756896,23.6091058142357,1.41789415400256,0.886289994477218
"11","200722 - control",-3.275,5.11909391321198,72,-19.6257724809023,13.0757724809023,-0.639761656168777,0.999231250836331
"12","200828 - control",1.19166666666667,5.11909391321198,72,-15.1591058142357,17.542439147569,0.232788592448182,0.999999636910713
"13","200847 - control",10.4250000000001,5.11909391321197,72,-5.92577248090221,26.7757724809024,2.03649321085788,0.525403161097962
"14","200882 - control",-4.47500000000004,5.80450689957572,72,-23.0150333121141,14.065033312114,-0.770952654105234,0.997143303025379
"15","200904 - control",7.25833333333334,5.11909391321198,72,-9.09243914756897,23.6091058142357,1.41789415400256,0.886289994477219
"16","200920 - control",6.52499999999999,5.11909391321198,72,-9.82577248090232,22.8757724809023,1.2746396355729,0.934365473597144
"17","200991 - control",2.22500000000001,5.11909391321198,72,-14.1257724809023,18.5757724809023,0.434647232053598,0.999955776115942
"18","201019 - control",11.7916666666667,5.11909391321198,72,-4.55910581423564,28.142439147569,2.30346754065857,0.354846249502642
"19","201097 - control",0.758333333333354,5.11909391321198,72,-15.592439147569,17.1091058142357,0.148138195194301,0.99999998939847
"20","201150 - control",12.5916666666667,5.11909391321198,72,-3.75910581423563,28.942439147569,2.45974519712729,0.269394937378052
"21","201151 - control",-1.57499999999999,5.11909391321198,72,-17.9257724809023,14.7757724809023,-0.307671636172768,0.99999684434516
"22","201184 - control",5.12499999999999,5.11909391321198,72,-11.2257724809023,21.4757724809023,1.00115373675267,0.984019328528417
"23","201263 - control",8.39166666666666,5.11909391321198,72,-7.95910581423566,24.742439147569,1.63928750066656,0.779928341012931
"24","201290 - control",0.658333333333331,5.11909391321198,72,-15.692439147569,17.0091058142357,0.128603488135708,0.999999996505208
"25","201814 - control",24.1916666666666,5.11909391321197,72,7.84089418576431,40.5424391475689,4.72577121592355,0.000353690725972244
"26","201819 - control",2.525,5.11909391321198,72,-13.8257724809023,18.8757724809023,0.493251353229362,0.999885725693376
"27","201827 - control",4.95833333333334,5.11909391321198,72,-11.392439147569,21.3091058142357,0.968595891655019,0.987024985260235
"28","201832 - control",3.52499999999999,5.11909391321198,72,-12.8257724809023,19.8757724809023,0.688598423815247,0.998701416734111
"29","201833 - control",-3.34166666666668,5.11909391321198,72,-19.692439147569,13.0091058142356,-0.652784794207838,0.999111839476521
"30","201850 - control",2.82499999999999,5.11909391321198,72,-13.5257724809023,19.1757724809023,0.551855474405126,0.99973751953491
"31","201853 - control",1.42499999999999,5.11909391321198,72,-14.9257724809023,17.7757724809023,0.278369575584886,0.999998544149705
"32","201865 - control",13.1583333333333,5.11909391321197,72,-3.19243914756899,29.5091058142356,2.57044187045928,0.217407842506748
"33","201872 - control",3.925,5.11909391321198,72,-12.4257724809023,20.2757724809023,0.766737252049602,0.99724911453106
"34","201900 - control",25.9249999999999,5.11909391321198,72,9.57422751909761,42.2757724809022,5.06437280493908,9.96528267217522e-05
"35","201939 - control",2.49166666666666,5.11909391321198,72,-13.8591058142357,18.842439147569,0.486739784209832,0.999896514694236
