"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200443 - Control",-5.73333333333334,5.98749263274795,49,-24.4350914790509,12.9684248123842,-0.957551630539884,0.971015003563881
"2","200470 - Control",-1.00000000000002,5.98749263274794,49,-19.7017581457176,17.7017581457175,-0.167014819280216,0.999999280936466
"3","200505 - Control",1.3,5.98749263274795,49,-17.4017581457176,20.0017581457175,0.217119265064275,0.999996155398902
"4","200567 - Control",0.199999999999992,5.98749263274794,49,-18.5017581457175,18.9017581457175,0.0334029638560412,0.999999999977131
"5","200634 - Control",-0.80000000000001,5.98749263274794,49,-19.5017581457175,17.9017581457175,-0.133611855424172,0.999999828043494
"6","200648 - Control",0.499999999999977,6.69422027080179,49,-20.4092012562924,21.4092012562924,0.074691297832076,0.999999995913342
"7","200669 - Control",5.26666666666662,5.98749263274794,49,-13.4350914790509,23.9684248123841,0.879611381542444,0.981448019040612
"8","200723 - Control",-0.266666666666663,5.98749263274795,49,-18.9684248123842,18.4350914790509,-0.0445372851413893,0.999999999853771
"9","200926 - Control",-5.29999999999999,5.98749263274794,49,-24.0017581457175,13.4017581457175,-0.885178542185124,0.980812426700044
"10","201019 - Control",-0.900000000000006,5.98749263274794,49,-19.6017581457175,17.8017581457175,-0.150313337352192,0.99999963392129
"11","201079 - Control",3.33333333333334,5.98749263274795,49,-15.3684248123842,22.0350914790509,0.556716064267376,0.998636770175681
"12","201263 - Control",5.56666666666666,5.98749263274794,49,-13.1350914790509,24.2684248123842,0.929715827326514,0.975133576164059
"13","201290 - Control",-2.63333333333334,5.98749263274794,49,-21.3350914790509,16.0684248123842,-0.439805690771227,0.999674427752723
"14","201302 - Control",-1.30000000000001,5.98749263274794,49,-20.0017581457175,17.4017581457175,-0.217119265064277,0.999996155398902
"15","201350 - Control",8.36666666666667,5.98749263274794,49,-10.3350914790509,27.0684248123842,1.39735732131111,0.833193835819706
"16","201453 - Control",4.29999999999999,5.98749263274794,49,-14.4017581457175,23.0017581457175,0.718163722904912,0.993954315982726
"17","201812 - Control",-2.53333333333334,5.98749263274794,49,-21.2350914790509,16.1684248123842,-0.423104208843206,0.999743553674093
"18","201826 - Control",1.29999999999999,5.98749263274794,49,-17.4017581457175,20.0017581457175,0.217119265064275,0.999996155398902
"19","201838 - Control",-0.866666666666675,5.98749263274794,49,-19.5684248123842,17.8350914790509,-0.144746176709519,0.999999712613043
"20","201849 - Control",-5.80000000000001,5.98749263274794,49,-24.5017581457175,12.9017581457175,-0.968685951825232,0.969237619948146
"21","201853 - Control",-3.36666666666667,5.98749263274794,49,-22.0684248123842,15.3350914790509,-0.562283224910049,0.998553205404145
"22","201862 - Control",0.299999999999999,5.98749263274795,49,-18.4017581457176,19.0017581457176,0.0501044457840635,0.999999999687655
"23","201877 - Control",-0.666666666666676,5.98749263274794,49,-19.3684248123842,18.0350914790509,-0.111343212853476,0.999999946688294
"24","201884 - Control",-3.23333333333332,5.98749263274795,49,-21.9350914790509,15.4684248123842,-0.54001458233935,0.998864361660607
