"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200271 - control",-1.99999999999987,5.17533834489369,70,-18.5449960130274,14.5449960130277,-0.386448163717294,0.999981796497783
"2","200276 - control",-5.76666666666667,5.17533834489369,70,-22.3116626796942,10.7783293463609,-1.11425887205161,0.969282853648246
"3","200278 - control",-2.50000000000007,5.17533834489369,70,-19.0449960130276,14.0449960130275,-0.483060204646663,0.999901849889715
"4","200308 - control",-4.3,5.17533834489369,70,-20.8449960130275,12.2449960130275,-0.830863551992237,0.995232912439416
"5","200317 - control",-2.1,5.1753383448937,70,-18.6449960130275,14.4449960130275,-0.405770571903185,0.9999736186523
"6","200432 - control",6.36666666666665,5.17533834489369,70,-10.1783293463609,22.9116626796942,1.2301933211668,0.945860436067313
"7","200437 - control",2.96666666666666,5.17533834489369,70,-13.5783293463608,19.5116626796942,0.573231442847358,0.99965192430184
"8","200464 - control",4.46666666666667,5.17533834489369,70,-12.0783293463609,21.0116626796942,0.863067565635347,0.993853615445506
"9","200465 - control",-2.93333333333334,5.17533834489368,70,-19.4783293463608,13.6116626796942,-0.566790640118737,0.9996795479149
"10","200509 - control",4.43333333333334,5.17533834489369,70,-12.1116626796942,20.9783293463609,0.856626762906727,0.994152216257991
"11","200542 - control",-10.7,5.17533834489369,70,-27.2449960130276,5.84499601302751,-2.06749767588766,0.504844421897057
"12","200559 - control",0.500000000000001,5.17533834489369,70,-16.0449960130275,17.0449960130275,0.0966120409293301,0.999999999629321
"13","200646 - control",0.30000000000001,5.78620417287178,70,-18.1978678862963,18.7978678862963,0.0518474618311155,0.999999999997305
"14","200651 - control",-7.83333333333333,5.17533834489369,70,-24.3783293463609,8.7116626796942,-1.51358864122617,0.84477099049762
"15","200785 - control",0.36666666666666,5.17533834489369,70,-16.1783293463609,16.9116626796942,0.0708488300148406,0.99999999996775
"16","200790 - control",-7.93333333333332,5.17533834489369,70,-24.4783293463608,8.6116626796942,-1.53291104941203,0.83553617720828
"17","200791 - control",9.13333333333334,5.17533834489369,70,-7.41166267969419,25.6783293463609,1.76477994764243,0.705175517564401
"18","200891 - control",-5.73333333333334,5.17533834489369,70,-22.2783293463609,10.8116626796942,-1.10781806932299,0.970318627194089
"19","200892 - control",-6.20000000000001,5.17533834489369,70,-22.7449960130275,10.3449960130275,-1.19798930752369,0.953319737404743
"20","200944 - control",4.16666666666668,5.17533834489369,70,-12.3783293463608,20.7116626796942,0.805100341077752,0.996146966826089
"21","200993 - control",2.9,5.17533834489369,70,-13.6449960130275,19.4449960130275,0.560349837390115,0.999705299329148
"22","201007 - control",-8.96666666666665,5.17533834489369,70,-25.5116626796942,7.57832934636087,-1.73257593399932,0.725118358423093
"23","201028 - control",-3.23333333333335,5.17533834489369,70,-19.7783293463609,13.3116626796942,-0.624757864676337,0.999349695298266
"24","201044 - control",0.366666666666672,5.17533834489369,70,-16.1783293463609,16.9116626796942,0.0708488300148431,0.99999999996775
"25","201054 - control",-2.99999999999999,5.17533834489369,70,-19.5449960130275,13.5449960130275,-0.579672245575979,0.999622320971351
"26","201070 - control",-12.6,5.78620417287178,70,-31.0978678862963,5.89786788629631,-2.17759339690677,0.432707588722046
"27","201082 - control",-5.06666666666666,5.17533834489369,70,-21.6116626796942,11.4783293463609,-0.979002014750542,0.986083840860964
"28","201107 - control",-7.53333333333332,5.17533834489369,70,-24.0783293463608,9.01166267969419,-1.45562141666857,0.870732082670449
"29","201248 - control",-1.8,5.17533834489369,70,-18.3449960130275,14.7449960130275,-0.347803347345588,0.999991864107585
"30","201293 - control",0.266666666666666,5.17533834489369,70,-16.2783293463609,16.8116626796942,0.0515264218289759,0.999999999997435
"31","201461 - control",1.93333333333333,5.17533834489369,70,-14.6116626796942,18.4783293463609,0.373566558260076,0.999985943833274
"32","201620 - control",4.16666666666667,5.17533834489369,70,-12.3783293463609,20.7116626796942,0.80510034107775,0.996146966826089
"33","201653 - control",-4.63333333333334,5.17533834489369,70,-21.1783293463609,11.9116626796942,-0.895271579278458,0.992173406228075
"34","201842 - control",-2.06666666666667,5.17533834489369,70,-18.6116626796942,14.4783293463609,-0.399329769174564,0.999976637777646
"35","201995 - control",-9.26666666666667,5.17533834489369,70,-25.8116626796942,7.27832934636085,-1.79054315855692,0.688899201981449
