"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200436 - control",-214.3,98.4884426383793,47,-522.494340386342,93.894340386341,-2.17588982279725,0.362454970746731
"2","200499 - control",-193.166666666667,98.4884426383793,47,-501.361007053008,115.027673719674,-1.96131303828123,0.493284670294694
"3","200544 - control",-181.7,98.4884426383793,47,-489.894340386341,126.494340386341,-1.84488651797601,0.568673899219538
"4","200647 - control",-266.833333333333,98.4884426383793,47,-575.027673719675,41.3610070530081,-2.70928574140488,0.133319134443685
"5","200649 - control",-60.0666666666669,110.113426368752,47,-404.638414358951,284.505081025617,-0.545498116328822,0.998787606006356
"6","200650 - control",-179.933333333333,98.4884426383794,47,-488.127673719675,128.261007053008,-1.82694871106852,0.580346786301377
"7","200776 - control",-37.9333333333335,98.4884426383793,47,-346.127673719675,270.261007053008,-0.385155174730639,0.999856024782909
"8","200801 - control",-206,98.4884426383794,47,-514.194340386342,102.194340386341,-2.09161597525074,0.41195925076274
"9","200820 - control",-227.833333333333,98.4884426383793,47,-536.027673719675,80.3610070530078,-2.31330019269236,0.288743739736148
"10","200879 - control",-98.3666666666669,98.4884426383793,47,-406.561007053008,209.827673719674,-0.998763550641576,0.963950567893093
"11","200886 - control",-172.299999999999,98.4884426383794,47,-480.494340386341,135.894340386342,-1.74944384726068,0.630501301402244
"12","200887 - control",-208.066666666667,98.4884426383793,47,-516.261007053008,100.127673719675,-2.11259982484063,0.399366268876829
"13","200903 - control",-281.3,98.4884426383793,47,-589.494340386341,26.8943403863412,-2.85617268853414,0.0962247143585557
"14","200989 - control",-182.466666666667,98.4884426383793,47,-490.661007053008,125.727673719675,-1.85267084927549,0.563606845040582
"15","201010 - control",-93.8666666666667,98.4884426383793,47,-402.061007053008,214.327673719675,-0.953072910405514,0.971625215503815
"16","201013 - control",-182.1,98.4884426383794,47,-490.294340386341,126.094340386341,-1.84894790821922,0.566030231347274
"17","201020 - control",-195.966666666667,139.283691316201,47,-631.819282687661,239.885949354327,-1.40696060547236,0.828430738363069
"18","201036 - control",-287.233333333333,98.4884426383793,47,-595.427673719674,20.961007053008,-2.91641664380835,0.0837185774635654
"19","201059 - control",-195.066666666667,98.4884426383793,47,-503.261007053008,113.127673719674,-1.98060464193646,0.480967480261419
"20","201257 - control",-219.4,98.4884426383793,47,-527.594340386341,88.7943403863412,-2.22767254839812,0.3335794613341
"21","201444 - control",-127.933333333333,98.4884426383793,47,-436.127673719675,180.261007053008,-1.29896797945183,0.876546399176789
"22","201445 - control",-135.433333333333,98.4884426383793,47,-443.627673719675,172.761007053008,-1.37511904651193,0.843498065709477
"23","201615 - control",-234.466666666667,98.4884426383793,47,-542.661007053008,73.7276737196746,-2.38065158089218,0.256212149083241
"24","201949 - control",-174.666666666667,98.4884426383793,47,-482.861007053008,133.527673719675,-1.77347373953299,0.615027541603211
