"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200266 - control",3.41666666666667,25.0973496915205,65,-76.0948154360212,82.9281487693545,0.136136552610615,0.999999981442907
"2","200446 - control",-10.55,25.0973496915205,65,-90.0614821026878,68.9614821026879,-0.4203631112318,0.999932520733932
"3","200460 - control",-3.75000000000001,25.0973496915205,65,-83.2614821026879,75.7614821026879,-0.149418167499455,0.999999963197581
"4","200473 - control",-0.350000000000012,25.0973496915205,65,-79.8614821026878,79.1614821026878,-0.0139456956332829,1
"5","200547 - control",58.6499999999999,25.0973496915205,65,-20.8614821026879,138.161482102688,2.33690013969147,0.31471145948896
"6","200561 - control",-10.4500000000001,25.0973496915205,65,-89.961482102688,69.0614821026878,-0.416378626765151,0.999936931363107
"7","200599 - control",-43.7166666666666,25.0973496915205,65,-123.228148769354,35.7948154360212,-1.74188379267142,0.692535444181259
"8","200634 - control",-8.71666666666643,25.0973496915204,65,-88.2281487693542,70.7948154360214,-0.347314229343168,0.999982744770996
"9","200648 - control",10.9166666666666,25.0973496915205,65,-68.5948154360212,90.4281487693544,0.434972887609522,0.999914041113461
"10","200665 - control",3.68333333333335,25.0973496915205,65,-75.8281487693545,83.1948154360212,0.146761844521688,0.999999967745001
"11","200821 - control",-31.7833333333334,25.0973496915205,65,-111.294815436021,47.7281487693544,-1.26640197965094,0.92320485994298
"12","200883 - control",27.6833333333334,25.0973496915205,65,-51.8281487693545,107.194815436021,1.1030381165182,0.963133892253537
"13","200986 - control",-4.38333333333336,25.0973496915205,65,-83.8948154360212,75.1281487693545,-0.174653235788253,0.999999884201496
"14","201056 - control",12.0166666666666,25.0973496915204,65,-67.4948154360212,91.5281487693544,0.478802216742697,0.999830982878058
"15","201079 - control",6.54999999999997,25.0973496915204,65,-72.9614821026878,86.0614821026877,0.260983732565714,0.999997817458647
"16","201083 - control",3.08333333333344,25.0973496915205,65,-76.4281487693544,82.5948154360213,0.122854937721778,0.999999991283933
"17","201098 - control",17.95,25.0973496915204,65,-61.5614821026878,97.4614821026877,0.715214961764057,0.997397340852921
"18","201152 - control",-15.55,25.0973496915205,65,-95.0614821026879,63.9614821026879,-0.619587334564408,0.999000355090525
"19","201175 - control",39.4499999999999,25.0973496915205,65,-40.0614821026879,118.961482102688,1.57187912209426,0.792653282143113
"20","201176 - control",39.7499999999999,25.0973496915204,65,-39.7614821026879,119.261482102688,1.58383257549422,0.786145883425344
"21","201185 - control",5.55000000000002,25.0973496915205,65,-73.9614821026878,85.0614821026878,0.221138887899194,0.999999347892544
"22","201254 - control",16.3833333333333,25.0973496915205,65,-63.1281487693545,95.8948154360211,0.652791371786506,0.99857960542665
"23","201260 - control",1.38333333333332,25.0973496915204,65,-78.1281487693545,80.8948154360211,0.0551187017886875,0.999999999976467
"24","201808 - control",9.44999999999996,25.0973496915205,65,-70.0614821026879,88.9614821026878,0.376533782098625,0.999969206030806
"25","201845 - control",-9.81666666666667,25.0973496915205,65,-89.3281487693545,69.6948154360212,-0.391143558476351,0.999959583459815
"26","201849 - control",66.8833333333331,25.0973496915204,65,-12.6281487693547,146.394815436021,2.66495602744583,0.16667970427108
"27","201896 - control",30.4833333333334,25.0973496915205,65,-49.0281487693545,109.994815436021,1.21460368158446,0.938037121762051
"28","201901 - control",-25.2833333333334,25.0973496915205,65,-104.794815436021,54.2281487693545,-1.00741048931855,0.978001162080186
"29","201915 - control",19.4833333333333,25.0973496915205,65,-60.0281487693545,98.9948154360211,0.776310390252724,0.995567466651364
"30","201926 - control",-7.85000000000002,25.0973496915205,65,-87.3614821026878,71.6614821026878,-0.312782030632193,0.999991887736137
"31","201957 - control",1.28333333333332,25.0973496915205,65,-78.2281487693545,80.7948154360211,0.0511342173220353,0.999999999986492
