"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200290 - control",-1.96666666666666,1.3231935874396,70,-6.20790926051094,2.27457592717763,-1.48630305144706,0.861914168035928
"2","200312 - control",-0.300000000000001,1.3231935874396,70,-4.54124259384428,3.94124259384428,-0.226724194288537,0.999999764421584
"3","200438 - control",0.350000000000005,1.47937540445338,70,-4.39185337445167,5.09185337445168,0.236586331600753,0.999999670179636
"4","200462 - control",-0.466666666666663,1.3231935874396,70,-4.70790926051095,3.77457592717762,-0.352682080004386,0.999992437111084
"5","200477 - control",3.10862446895044e-15,1.3231935874396,70,-4.24124259384428,4.24124259384429,2.34933459356138e-15,1
"6","200525 - control",-0.866666666666665,1.3231935874396,70,-5.10790926051095,3.37457592717762,-0.654981005722435,0.999182450914649
"7","200555 - control",0.266666666666674,1.3231935874396,70,-3.97457592717761,4.50790926051096,0.201532617145371,0.999999907284945
"8","200578 - control",-0.0333333333333299,1.3231935874396,70,-4.27457592717761,4.20790926051095,-0.025191577143168,1
"9","200588 - control",-0.899999999999987,1.87127831700219,70,-6.89802279752902,5.09802279752905,-0.480954645721433,0.999917773587453
"10","200667 - control",-0.83333333333333,1.3231935874396,70,-5.07457592717761,3.40790926051096,-0.629789428579263,0.999385518093428
"11","200704 - control",-0.0999999999999961,1.3231935874396,70,-4.34124259384428,4.14124259384429,-0.075574731429509,0.99999999996262
"12","200716 - control",-0.299999999999998,1.3231935874396,70,-4.54124259384428,3.94124259384429,-0.226724194288534,0.999999764421584
"13","200719 - control",-0.699999999999985,1.3231935874396,70,-4.94124259384427,3.5412425938443,-0.529023120006572,0.999831227499005
"14","200797 - control",0.86666666666668,1.3231935874396,70,-3.37457592717761,5.10790926051097,0.654981005722446,0.999182450914648
"15","200806 - control",-1.53333333333333,1.3231935874396,70,-5.77457592717762,2.70790926051095,-1.15881254858585,0.963378817608812
"16","200880 - control",-0.3,1.3231935874396,70,-4.54124259384428,3.94124259384428,-0.226724194288535,0.999999764421584
"17","200881 - control",-0.799999999999999,1.3231935874396,70,-5.04124259384428,3.44124259384429,-0.604597851436095,0.999544491908748
"18","200952 - control",-0.933333333333331,1.3231935874396,70,-5.17457592717761,3.30790926051095,-0.705364160008776,0.998606361059876
"19","200976 - control",2.9,1.47937540445338,70,-1.84185337445168,7.64185337445167,1.96028674754907,0.583450648192641
"20","200983 - control",0.23333333333333,1.3231935874396,70,-4.00790926051095,4.47457592717761,0.176341040002192,0.999999967866719
"21","200988 - control",-0.633333333333332,1.3231935874396,70,-4.87457592717761,3.60790926051095,-0.478639965720241,0.999920730434209
"22","201014 - control",-0.666666666666663,1.3231935874396,70,-4.90790926051095,3.57457592717762,-0.50383154286341,0.99988310804529
"23","201078 - control",0.0333333333333357,1.3231935874396,70,-4.20790926051095,4.27457592717762,0.0251915771431724,1
"24","201088 - control",3.90000000000001,1.3231935874396,70,-0.341242593844274,8.1412425938443,2.94741452575097,0.0964069966011972
"25","201154 - control",0.133333333333329,1.3231935874396,70,-4.10790926051095,4.37457592717761,0.100766308572679,0.999999999627723
"26","201267 - control",0.266666666666667,1.3231935874396,70,-3.97457592717762,4.50790926051095,0.201532617145366,0.999999907284945
"27","201304 - control",-0.433333333333333,1.3231935874396,70,-4.67457592717762,3.80790926051095,-0.327490502861218,0.999995754870938
"28","201315 - control",1.60000000000002,1.3231935874396,70,-2.64124259384427,5.8412425938443,1.2091957028722,0.953177420065394
"29","201844 - control",0.333333333333312,1.3231935874396,70,-3.90790926051096,4.57457592717759,0.251915771431691,0.999999458663301
"30","201854 - control",1.99840144432528e-15,1.3231935874396,70,-4.24124259384428,4.24124259384429,1.51028652443232e-15,1
"31","201861 - control",0.133333333333326,1.3231935874396,70,-4.10790926051095,4.3745759271776,0.100766308572677,0.999999999627723
"32","201897 - control",-0.76666666666667,1.3231935874396,70,-5.00790926051095,3.47457592717761,-0.579406274292927,0.999667342784028
"33","201902 - control",-1.56666666666666,1.3231935874396,70,-5.80790926051095,2.67457592717763,-1.18400412572901,0.958500661939705
"34","201914 - control",1.13333333333333,1.3231935874396,70,-3.10790926051095,5.37457592717762,0.856513622867802,0.994617352293197
"35","201938 - control",-0.966666666666664,1.3231935874396,70,-5.20790926051095,3.27457592717762,-0.730555737151947,0.998211454380078
"36","201982 - control",-1.13333333333333,1.3231935874396,70,-5.37457592717761,3.10790926051095,-0.8565136228678,0.994617352293198
