"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200444 - control",1.36666666666667,0.689621803086675,49,-0.778149224033549,3.51148255736688,1.98176255528698,0.470345911328544
"2","200533 - control",1.06666666666667,0.689621803086675,49,-1.07814922403355,3.21148255736688,1.54674150656545,0.745721145763184
"3","200556 - control",0.366666666666666,0.689621803086676,49,-1.77814922403355,2.51148255736688,0.531692392881872,0.998785787438614
"4","200715 - control",0.366666666666667,0.689621803086675,49,-1.77814922403355,2.51148255736688,0.531692392881875,0.998785787438614
"5","200808 - control",0.8,0.689621803086675,49,-1.34481589070021,2.94481589070022,1.16005612992409,0.920765377630296
"6","201084 - control",2.43333333333333,0.689621803086675,49,0.288517442633118,4.57814922403355,3.52850406185243,0.0164099763102373
"7","201085 - control",1.63333333333333,0.689621803086675,49,-0.511482557366882,3.77814922403355,2.36844793192835,0.254306080288558
"8","201815 - control",2.66666666666667,0.689621803086675,49,0.52185077596645,4.81148255736688,3.86685376641363,0.00616745538806529
"9","201818 - control",0.800000000000001,0.689621803086675,49,-1.34481589070022,2.94481589070022,1.16005612992409,0.920765377630296
"10","201823 - control",1.63333333333333,0.689621803086675,49,-0.511482557366883,3.77814922403355,2.36844793192834,0.254306080288559
"11","201868 - control",1.03333333333333,0.689621803086675,49,-1.11148255736688,3.17814922403355,1.49840583448528,0.773029029906793
"12","201870 - control",0.666666666666666,0.975272506833365,49,-2.36656105475491,3.69989438808824,0.683569630021954,0.994827989340725
"13","201874 - control",1.1,0.689621803086676,49,-1.04481589070022,3.24481589070022,1.59507717864562,0.717247769054859
"14","201880 - control",0.850000000000001,0.597230000476691,49,-1.00746504778693,2.70746504778694,1.42323727763434,0.812808933540498
"15","201887 - control",0.733333333333335,0.689621803086676,49,-1.41148255736688,2.87814922403355,1.06338478576375,0.947195891445416
"16","201888 - control",0.6,0.689621803086675,49,-1.54481589070022,2.74481589070022,0.870042097443066,0.980742517601709
"17","201895 - control",1,0.689621803086675,49,-1.14481589070021,3.14481589070022,1.45007016240511,0.799010830991996
"18","201899 - control",1.53333333333333,0.689621803086675,49,-0.611482557366882,3.67814922403355,2.22344091568784,0.327203180478212
"19","201909 - control",1.36666666666667,0.689621803086675,49,-0.778149224033549,3.51148255736688,1.98176255528698,0.470345911328544
"20","201910 - control",0.933333333333333,0.689621803086675,49,-1.21148255736688,3.07814922403355,1.35339881824477,0.846451435765455
"21","201917 - control",0.266666666666667,0.689621803086675,49,-1.87814922403355,2.41148255736688,0.386685376641363,0.999819877187848
"22","201933 - control",0.466666666666669,0.689621803086675,49,-1.67814922403355,2.61148255736688,0.676699409122388,0.995114177170185
"23","201990 - control",0.266666666666668,0.689621803086675,49,-1.87814922403355,2.41148255736688,0.386685376641365,0.999819877187848
