"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200266 - control",84.9833333333341,104.770131717012,65,-246.941294378572,416.90796104524,0.811140846542765,0.994134180879984
"2","200446 - control",185.716666666667,104.770131717012,65,-146.207961045239,517.641294378573,1.772610796828,0.673016238925503
"3","200460 - control",-7.58333333333366,104.770131717012,65,-339.50796104524,324.341294378572,-0.0723806795797157,0.999999999823829
"4","200473 - control",136.383333333333,104.770131717012,65,-195.541294378572,468.307961045239,1.30173868351822,0.911866941509065
"5","200547 - control",249.116666666667,104.770131717012,65,-82.807961045239,581.041294378572,2.37774509379773,0.292885258586075
"6","200561 - control",-55.7166666666673,104.770131717012,65,-387.641294378573,276.207961045239,-0.531799146890071,0.99964877989656
"7","200599 - control",-131.216666666666,104.770131717012,65,-463.141294378572,200.707961045239,-1.25242437435402,0.927414828283261
"8","200634 - control",74.7833333333346,104.770131717012,65,-257.141294378571,406.70796104524,0.713784855547641,0.997431315581597
"9","200648 - control",65.6166666666663,104.770131717012,65,-266.307961045239,397.541294378572,0.626291726385335,0.998924969694623
"10","200665 - control",-26.9166666666665,104.770131717012,65,-358.841294378572,305.007961045239,-0.256911642903813,0.999998053452323
"11","200821 - control",-81.4500000000002,104.770131717012,65,-413.374627711906,250.474627711905,-0.777416222211114,0.995526753250046
"12","200883 - control",185.883333333334,104.770131717012,65,-146.041294378572,517.807961045239,1.77420158099459,0.671996865522464
"13","200986 - control",-50.4499999999999,104.770131717012,65,-382.374627711906,281.474627711906,-0.481530367225912,0.999824118316674
"14","201056 - control",-70.5166666666665,104.770131717012,65,-402.441294378572,261.407961045239,-0.673060780882998,0.998257995368251
"15","201079 - control",109.916666666667,104.770131717012,65,-222.007961045239,441.841294378572,1.04912215786419,0.972199811022506
"16","201083 - control",54.5833333333335,104.770131717012,65,-277.341294378572,386.507961045239,0.520981814557274,0.999695412216649
"17","201098 - control",24.116666666667,104.770131717012,65,-307.807961045238,356.041294378572,0.230186468905156,0.999999125997681
"18","201152 - control",59.683333333333,104.770131717012,65,-272.241294378573,391.607961045239,0.569659810054834,0.999435884777086
"19","201175 - control",207.716666666666,104.770131717012,65,-124.207961045239,539.641294378572,1.98259430681749,0.534292155800033
"20","201176 - control",175.616666666666,104.770131717012,65,-156.307961045239,507.541294378572,1.67620927633282,0.732979290654419
"21","201185 - control",107.183333333334,104.770131717012,65,-224.741294378572,439.107961045239,1.02303329753216,0.975945280587376
"22","201254 - control",124.216666666667,104.770131717012,65,-207.707961045239,456.141294378572,1.18561143935736,0.945434370975985
"23","201260 - control",-14.5833333333334,104.770131717012,65,-346.507961045239,317.341294378572,-0.139193614576371,0.999999978148959
"24","201808 - control",16.4166666666666,104.770131717012,65,-315.507961045239,348.341294378572,0.156692240408828,0.999999947806788
"25","201845 - control",84.6166666666666,104.770131717012,65,-247.307961045239,416.541294378572,0.807641121376266,0.99429294309301
"26","201849 - control",415.216666666666,104.770131717012,65,83.2920389547601,747.141294378571,3.96312059421841,0.00483134613067882
"27","201896 - control",229.083333333333,104.770131717012,65,-102.841294378573,561.007961045239,2.18653283697396,0.402341593932007
"28","201901 - control",-81.4499999999999,104.770131717012,65,-413.374627711906,250.474627711906,-0.777416222211111,0.995526753250046
"29","201915 - control",142.316666666667,104.770131717012,65,-189.607961045239,474.241294378572,1.35837059984872,0.891599607681448
"30","201926 - control",-7.85000000000001,104.770131717012,65,-339.774627711906,324.074627711906,-0.0749259342462521,0.999999999772638
"31","201957 - control",-48.9166666666667,104.770131717012,65,-380.841294378572,283.007961045239,-0.466895152893312,0.999858364283989
