isolate,rep,sample,mg
200660,1,WS,193.2
200660,1,WR,8.9
200660,1,DS,15.8
200660,1,DR,1.1
200660,1,IW,58557.8
200660,1,FW,58952.4
200660,2,WS,133.7
200660,2,WR,21.8
200660,2,DS,10.0
200660,2,DR,2.2
200660,2,IW,59255.5
200660,2,FW,59617.1
200660,3,WS,308.1
200660,3,WR,9.2
200660,3,DS,22.0
200660,3,DR,0.8
200660,3,IW,59919.2
200660,3,FW,59614.7
200471,1,WS,253.8
200471,1,WR,9.8
200471,1,DS,16.8
200471,1,DR,0.9
200471,1,IW,58511.9
200471,1,FW,58170.1
200471,2,WS,285.1
200471,2,WR,49.9
200471,2,DS,19.9
200471,2,DR,4.6
200471,2,IW,59089.3
200471,2,FW,58788.1
200471,3,WS,454.2
200471,3,WR,63.9
200471,3,DS,30.9
200471,3,DR,6.3
200471,3,IW,59344.6
200471,3,FW,59084.5
200800,1,WS,90.5
200800,1,WR,9.6
200800,1,DS,8.0
200800,1,DR,1.2
200800,1,IW,59699.2
200800,1,FW,59478.1
200800,2,WS,205.0
200800,2,WR,9.2
200800,2,DS,15.3
200800,2,DR,0.5
200800,2,IW,59561.5
200800,2,FW,59326.4
200800,3,WS,774.9
200800,3,WR,27.4
200800,3,DS,46.1
200800,3,DR,2.6
200800,3,IW,60501.9
200800,3,FW,60280.3
200458,1,WS,151.7
200458,1,WR,12.2
200458,1,DS,10.9
200458,1,DR,0.8
200458,1,IW,59377.1
200458,1,FW,59134.2
200458,2,WS,316.2
200458,2,WR,37.4
200458,2,DS,18.7
200458,2,DR,2.9
200458,2,IW,59601.1
200458,2,FW,59350.6
200458,3,WS,136.2
200458,3,WR,33.4
200458,3,DS,9.9
200458,3,DR,2.2
200458,3,IW,59234.7
200458,3,FW,59015.9
200553,1,WS,218.4
200553,1,WR,23.5
200553,1,DS,13.5
200553,1,DR,2.0
200553,1,IW,60197.5
200553,1,FW,60008.1
200553,2,WS,314.4
200553,2,WR,24.3
200553,2,DS,21.3
200553,2,DR,2.0
200553,2,IW,59392.4
200553,2,FW,59177.0
200553,3,WS,367.1
200553,3,WR,17.9
200553,3,DS,23.7
200553,3,DR,1.4
200553,3,IW,58640.5
200553,3,FW,58314.4
201945,1,WS,365.7
201945,1,WR,24.5
201945,1,DS,25.5
201945,1,DR,2.1
201945,1,IW,59347.3
201945,1,FW,59100.1
201945,2,WS,285.1
201945,2,WR,25.0
201945,2,DS,18.8
201945,2,DR,1.6
201945,2,IW,59654.6
201945,2,FW,59366.8
201945,3,WS,288.1
201945,3,WR,11.6
201945,3,DS,18.2
201945,3,DR,0.8
201945,3,IW,59429.2
201945,3,FW,59192.1
200984,1,WS,388.7
200984,1,WR,31.2
200984,1,DS,23.8
200984,1,DR,2.4
200984,1,IW,59234.8
200984,1,FW,58979.4
200984,2,WS,404.1
200984,2,WR,24.4
200984,2,DS,23.7
200984,2,DR,1.6
200984,2,IW,58375.6
200984,2,FW,58089.7
200984,3,WS,795.1
200984,3,WR,63.5
200984,3,DS,48.4
200984,3,DR,4.8
200984,3,IW,60247.1
200984,3,FW,59982.1
200951,1,WS,287.7
200951,1,WR,16.7
200951,1,DS,20.7
200951,1,DR,1.5
200951,1,IW,58540.9
200951,1,FW,58225.5
200951,2,WS,135.5
200951,2,WR,16.1
200951,2,DS,11.3
200951,2,DR,1.1
200951,2,IW,60127.9
200951,2,FW,59861.8
200951,3,WS,177.5
200951,3,WR,15.5
200951,3,DS,13.1
200951,3,DR,1.2
200951,3,IW,58795.4
200951,3,FW,58560.7
201890,1,WS,104.3
201890,1,WR,15.2
201890,1,DS,8.3
201890,1,DR,0.3
201890,1,IW,58498.1
201890,1,FW,58226.8
201890,2,WS,172.6
201890,2,WR,16.6
201890,2,DS,12.4
201890,2,DR,1.8
201890,2,IW,58543.9
201890,2,FW,58236.0
201890,3,WS,192.6
201890,3,WR,15.6
201890,3,DS,14.4
201890,3,DR,1.6
201890,3,IW,59623.5
201890,3,FW,59341.3
200516,1,WS,NA
200516,1,WR,NA
200516,1,DS,NA
200516,1,DR,NA
200516,1,IW,59373.0
200516,1,FW,59033.2
200516,2,WS,NA
200516,2,WR,NA
200516,2,DS,NA
200516,2,DR,NA
200516,2,IW,59715.1
200516,2,FW,59417.2
200516,3,WS,NA
200516,3,WR,NA
200516,3,DS,NA
200516,3,DR,NA
200516,3,IW,59079.1
200516,3,FW,58740.3
200915,1,WS,80.9
200915,1,WR,4.6
200915,1,DS,6.5
200915,1,DR,0.4
200915,1,IW,59124.1
200915,1,FW,58943.4
200915,2,WS,170.3
200915,2,WR,11.2
200915,2,DS,13.3
200915,2,DR,0.1
200915,2,IW,58932.2
200915,2,FW,58635.5
200915,3,WS,205.3
200915,3,WR,25.6
200915,3,DS,5.4
200915,3,DR,1.9
200915,3,IW,57420.6
200915,3,FW,57108.2
200545,1,WS,327.6
200545,1,WR,30.7
200545,1,DS,23.7
200545,1,DR,2.6
200545,1,IW,59242.4
200545,1,FW,59086.4
200545,2,WS,273.8
200545,2,WR,26.4
200545,2,DS,18.9
200545,2,DR,2.0
200545,2,IW,59604.6
200545,2,FW,59340.9
200545,3,WS,352.2
200545,3,WR,19.2
200545,3,DS,24.0
200545,3,DR,1.4
200545,3,IW,58388.9
