isolate,rep,sample,mg
201315,1,WS,610.6
201315,1,WR,109.8
201315,1,DS,30.2
201315,1,DR,8.3
201315,1,IW,58879.5
201315,1,FW,58387.6
201315,2,WS,330.4
201315,2,WR,70.4
201315,2,DS,18.3
201315,2,DR,3.2
201315,2,IW,58046.4
201315,2,FW,57622.7
201315,3,WS,252.1
201315,3,WR,35.6
201315,3,DS,14.0
201315,3,DR,1.1
201315,3,IW,58251.8
201315,3,FW,57868.2
201897,1,WS,273.3
201897,1,WR,43.6
201897,1,DS,12.9
201897,1,DR,1.8
201897,1,IW,58223.3
201897,1,FW,57784.6
201897,2,WS,635.3
201897,2,WR,58.9
201897,2,DS,27.6
201897,2,DR,2.8
201897,2,IW,57655.1
201897,2,FW,57258.6
201897,3,WS,125.3
201897,3,WR,20.4
201897,3,DS,6.1
201897,3,DR,0.9
201897,3,IW,57714.0
201897,3,FW,57360.8
201861,1,WS,238.3
201861,1,WR,22.9
201861,1,DS,11.4
201861,1,DR,0.9
201861,1,IW,58530.9
201861,1,FW,58134.3
201861,2,WS,241.1
201861,2,WR,80.1
201861,2,DS,10.1
201861,2,DR,3.5
201861,2,IW,58068.5
201861,2,FW,57708.9
201861,3,WS,498.0
201861,3,WR,87.7
201861,3,DS,23.2
201861,3,DR,3.8
201861,3,IW,58375.4
201861,3,FW,58026.7
200290,1,WS,172.6
200290,1,WR,21.6
200290,1,DS,8.7
200290,1,DR,0.6
200290,1,IW,58349.2
200290,1,FW,58015.4
200290,2,WS,124.2
200290,2,WR,15.8
200290,2,DS,6.2
200290,2,DR,0.4
200290,2,IW,57972.4
200290,2,FW,57633.0
200290,3,WS,298.5
200290,3,WR,23.9
200290,3,DS,16.5
200290,3,DR,0.9
200290,3,IW,58516.9
200290,3,FW,58158.5
201844,1,WS,258.2
201844,1,WR,24.6
201844,1,DS,15.5
201844,1,DR,0.3
201844,1,IW,57938.7
201844,1,FW,57491.7
201844,2,WS,303.5
201844,2,WR,18.4
201844,2,DS,14.1
201844,2,DR,1.2
201844,2,IW,58414.8
201844,2,FW,58047.0
201844,3,WS,393.4
201844,3,WR,109.7
201844,3,DS,18.2
201844,3,DR,7.3
201844,3,IW,58674.2
201844,3,FW,58258.5
201014,1,WS,384.7
201014,1,WR,40.7
201014,1,DS,21.9
201014,1,DR,2.4
201014,1,IW,58586.1
201014,1,FW,58209.2
201014,2,WS,132.3
201014,2,WR,21.3
201014,2,DS,5.1
201014,2,DR,0.8
201014,2,IW,57703.3
201014,2,FW,57372.1
201014,3,WS,188.1
201014,3,WR,40.6
201014,3,DS,8.8
201014,3,DR,2.6
201014,3,IW,57486.2
201014,3,FW,57081.9
201902,1,WS,293.5
201902,1,WR,34.3
201902,1,DS,18.3
201902,1,DR,1.7
201902,1,IW,57354.4
201902,1,FW,56921.7
201902,2,WS,98.1
201902,2,WR,9.6
201902,2,DS,5.6
201902,2,DR,0.6
201902,2,IW,56492.5
201902,2,FW,56177.5
201902,3,WS,248.3
201902,3,WR,17.8
201902,3,DS,10.7
201902,3,DR,0.8
201902,3,IW,58220.0
201902,3,FW,57839.2
200477,1,WS,292.2
200477,1,WR,42.1
200477,1,DS,13.4
200477,1,DR,2.7
200477,1,IW,58463.3
200477,1,FW,58133.2
200477,2,WS,312.9
200477,2,WR,53.7
200477,2,DS,16.0
200477,2,DR,2.9
200477,2,IW,58052.8
200477,2,FW,57685.0
200477,3,WS,147.3
200477,3,WR,27.3
200477,3,DS,5.8
200477,3,DR,2.2
200477,3,IW,57994.9
200477,3,FW,57615.0
200797,1,WS,99.3
200797,1,WR,16.9
200797,1,DS,4.6
200797,1,DR,0.4
200797,1,IW,57904.0
200797,1,FW,57612.8
200797,2,WS,302.5
200797,2,WR,77.7
