isolate,rep,sample,mg
200798,1,WS,68.3
200798,1,WR,11.6
200798,1,DS,5.8
200798,1,DR,0.4
200798,1,IW,57506.5
200798,1,FW,57221.4
200798,2,WS,210.1
200798,2,WR,13.0
200798,2,DS,18.6
200798,2,DR,0.6
200798,2,IW,58338.7
200798,2,FW,57953.6
200798,3,WS,158.4
200798,3,WR,46.1
200798,3,DS,14.3
200798,3,DR,3.9
200798,3,IW,57514.6
200798,3,FW,57140.8
200656,1,WS,279.9
200656,1,WR,32.1
200656,1,DS,18.6
200656,1,DR,2.8
200656,1,IW,57936.8
200656,1,FW,57571.1
200656,2,WS,407.8
200656,2,WR,82.4
200656,2,DS,24.6
200656,2,DR,5.2
200656,2,IW,57285.3
200656,2,FW,56823.7
200656,3,WS,199.2
200656,3,WR,40.1
200656,3,DS,14.2
200656,3,DR,1.3
200656,3,IW,58110.9
200656,3,FW,57785.1
201649,1,WS,230.1
201649,1,WR,18.0
201649,1,DS,15.9
201649,1,DR,1.8
201649,1,IW,57964.0
201649,1,FW,57548.3
201649,2,WS,216.0
201649,2,WR,35.0
201649,2,DS,13.6
201649,2,DR,2.4
201649,2,IW,57778.5
201649,2,FW,57452.1
201649,3,WS,256.7
201649,3,WR,21.4
201649,3,DS,18.0
201649,3,DR,1.6
201649,3,IW,58214.9
201649,3,FW,57882.7
201450,1,WS,137.7
201450,1,WR,21.3
201450,1,DS,9.7
201450,1,DR,1.9
201450,1,IW,57704.7
201450,1,FW,57347.7
201450,2,WS,291.0
201450,2,WR,32.3
201450,2,DS,21.7
201450,2,DR,2.9
201450,2,IW,57212.8
201450,2,FW,56721.8
201450,3,WS,281.6
201450,3,WR,59.9
201450,3,DS,20.7
201450,3,DR,4.9
201450,3,IW,58192.6
201450,3,FW,57807.2
201811,1,WS,152.1
201811,1,WR,20.6
201811,1,DS,10.7
201811,1,DR,1.7
201811,1,IW,57189.8
201811,1,FW,56854.9
201811,2,WS,183.3
201811,2,WR,25.2
201811,2,DS,11.5
201811,2,DR,1.8
201811,2,IW,57616.3
201811,2,FW,57321.1
201811,3,WS,259.1
201811,3,WR,32.8
201811,3,DS,16.6
201811,3,DR,2.3
