isolate,rep,sample,mg
200886,1,WS,384.8
200886,1,WR,58.7
200886,1,DS,21.8
200886,1,DR,5.5
200886,1,IW,58371.4
200886,1,FW,57987.1
200886,2,WS,116.8
200886,2,WR,16.0
200886,2,DS,5.3
200886,2,DR,1.4
200886,2,IW,57778.4
200886,2,FW,57409.4
200886,3,WS,143.9
200886,3,WR,36.6
200886,3,DS,10.3
200886,3,DR,2.8
200886,3,IW,57641.5
200886,3,FW,57241.1
200647,1,WS,144.9
200647,1,WR,28.8
200647,1,DS,8.4
200647,1,DR,2.2
200647,1,IW,57869.6
200647,1,FW,57458.8
200647,2,WS,51.0
200647,2,WR,6.5
200647,2,DS,3.3
200647,2,DR,0.2
200647,2,IW,58020.5
200647,2,FW,57652.9
200647,3,WS,166.0
200647,3,WR,51.0
200647,3,DS,10.2
200647,3,DR,4.6
200647,3,IW,58644.4
200647,3,FW,58348.9
201257,1,WS,215.8
201257,1,WR,57.1
201257,1,DS,11.0
201257,1,DR,3.2
201257,1,IW,57530.2
201257,1,FW,57032.3
201257,2,WS,108.6
201257,2,WR,28.9
201257,2,DS,6.5
201257,2,DR,2.0
201257,2,IW,58126.3
201257,2,FW,57703.6
201257,3,WS,179.8
201257,3,WR,36.9
201257,3,DS,9.1
201257,3,DR,2.8
201257,3,IW,57620.8
201257,3,FW,57243.8
201036,1,WS,138.4
201036,1,WR,28.8
201036,1,DS,9.1
201036,1,DR,3.2
201036,1,IW,58539.8
201036,1,FW,58167.2
201036,2,WS,76.6
201036,2,WR,33.6
201036,2,DS,4.7
201036,2,DR,3.2
201036,2,IW,57351.7
201036,2,FW,56961.1
201036,3,WS,85.7
201036,3,WR,25.6
201036,3,DS,5.0
201036,3,DR,2.2
201036,3,IW,57812.4
201036,3,FW,57516.7
201615,1,WS,77.9
201615,1,WR,50.3
201615,1,DS,6.1
201615,1,DR,4.2
201615,1,IW,58322.0
201615,1,FW,58019.9
201615,2,WS,167.4
201615,2,WR,21.1
201615,2,DS,10.6
201615,2,DR,1.5
201615,2,IW,57887.9
201615,2,FW,57563.3
201615,3,WS,213.7
201615,3,WR,52.6
201615,3,DS,14.4
201615,3,DR,4.1
201615,3,IW,57049.8
201615,3,FW,56306.2
200499,1,WS,311.9
200499,1,WR,80.9
200499,1,DS,19.5
200499,1,DR,4.8
200499,1,IW,58177.6
200499,1,FW,57522.2
200499,2,WS,125.5
200499,2,WR,19.5
200499,2,DS,7.8
200499,2,DR,2.0
200499,2,IW,57588.2
200499,2,FW,57217.3
200499,3,WS,145.5
200499,3,WR,41.4
200499,3,DS,9.3
200499,3,DR,3.7
200499,3,IW,58711.7
200499,3,FW,58352.8
200820,1,WS,66.5
200820,1,WR,30.6
200820,1,DS,5.2
200820,1,DR,2.3
200820,1,IW,58238.9
200820,1,FW,57907.2
200820,2,WS,230.5
200820,2,WR,38.1
200820,2,DS,14.6
200820,2,DR,3.4
200820,2,IW,57508.8
200820,2,FW,57008.3
200820,3,WS,181.9
200820,3,WR,53.7
200820,3,DS,11.7
200820,3,DR,5.7
200820,3,IW,58758.5
200820,3,FW,58456.7
200801,1,WS,271.9
200801,1,WR,68.5
200801,1,DS,15.9
200801,1,DR,6.3
200801,1,IW,58093.4
200801,1,FW,57599.9
200801,2,WS,101.1
200801,2,WR,70.2
200801,2,DS,6.2
200801,2,DR,4.4
200801,2,IW,58500.9
200801,2,FW,58201.9
200801,3,WS,171.4
200801,3,WR,35.4
200801,3,DS,10.1
200801,3,DR,2.8
200801,3,IW,57703.9
200801,3,FW,57356.8
200776,1,WS,557.6
200776,1,WR,94.1
200776,1,DS,31.8
200776,1,DR,6.5
200776,1,IW,58576.9
200776,1,FW,58209.4
200776,2,WS,390.7
200776,2,WR,73.6
200776,2,DS,22.7
200776,2,DR,6.1
200776,2,IW,58030.9
200776,2,FW,57680.4
200776,3,WS,100.3
200776,3,WR,9.4
200776,3,DS,6.8
200776,3,DR,0.3
200776,3,IW,57547.6
200776,3,FW,57110.0
200436,1,WS,291.4
200436,1,WR,26.6
200436,1,DS,16.6
200436,1,DR,2.2
200436,1,IW,57774.4
200436,1,FW,57403.9
200436,2,WS,109.8
200436,2,WR,12.7
200436,2,DS,6.7
200436,2,DR,1.3
200436,2,IW,58281.3
200436,2,FW,57951.1
200436,3,WS,118.3
200436,3,WR,13.3
200436,3,DS,6.0
200436,3,DR,0.6
200436,3,IW,57764.0
200436,3,FW,57448.6
201013,1,WS,259.1
201013,1,WR,26.8
201013,1,DS,12.3
201013,1,DR,2.1
201013,1,IW,59036.1
201013,1,FW,58688.0
201013,2,WS,128.1
201013,2,WR,41.5
201013,2,DS,7.3
201013,2,DR,3.3
201013,2,IW,57743.7
201013,2,FW,57345.4
201013,3,WS,228.9
201013,3,WR,21.1
201013,3,DS,13.6
201013,3,DR,1.5
201013,3,IW,57936.7
201013,3,FW,57494.7
201949,1,WS,142.5
201949,1,WR,13.9
201949,1,DS,9.8
201949,1,DR,0.8
201949,1,IW,57118.9
201949,1,FW,56657.0
201949,2,WS,302.6
201949,2,WR,24.8
201949,2,DS,16.5
201949,2,DR,1.5
201949,2,IW,57317.6
201949,2,FW,56912.1
201949,3,WS,193.3
201949,3,WR,20.4
201949,3,DS,11.5
201949,3,DR,1.4
201949,3,IW,57451.0
201949,3,FW,57105.5
200903,1,WS,163.1
200903,1,WR,24.5
200903,1,DS,10.0
200903,1,DR,1.9
200903,1,IW,57657.3
200903,1,FW,57283.5
200903,2,WS,57.0
200903,2,WR,15.8
200903,2,DS,3.9
200903,2,DR,1.2
200903,2,IW,59180.4
200903,2,FW,58913.3
200903,3,WS,98.4
200903,3,WR,8.1
200903,3,DS,7.6
200903,3,DR,0.6
200903,3,IW,58393.4
200903,3,FW,58094.3
200650,1,WS,230.7
200650,1,WR,23.3
200650,1,DS,15.5
200650,1,DR,2.2
200650,1,IW,57375.9
200650,1,FW,56934.7
200650,2,WS,345.8
200650,2,WR,29.1
200650,2,DS,20.0
200650,2,DR,1.9
200650,2,IW,57961.6
200650,2,FW,57495.1
200650,3,WS,46.1
200650,3,WR,3.1
200650,3,DS,2.3
200650,3,DR,0.1
200650,3,IW,58447.9
200650,3,FW,58120.3
201444,1,WS,206.7
201444,1,WR,20.4
201444,1,DS,11.6
201444,1,DR,1.3
201444,1,IW,57288.1
201444,1,FW,56876.3
201444,2,WS,261.1
