isolate,rep,sample,mg
200473,2,IW,48148.8
200473,2,FW,48168.4
200473,3,WS,320.2
200473,3,WR,59.0
200473,3,DS,24.8
200473,3,DR,5.0
200473,3,IW,48740.1
200473,3,FW,47892.4
201915,1,WS,396.6
201915,1,WR,49.1
201915,1,DS,28.3
201915,1,DR,4.3
201915,1,IW,48334.8
201915,1,FW,474962.9
201915,2,WS,398.1
201915,2,WR,81.5
201915,2,DS,29.0
201915,2,DR,6.7
201915,2,IW,48534.4
201915,2,FW,48184.6
201915,3,WS,306.8
201915,3,WR,87.0
201915,3,DS,23.6
201915,3,DR,8.9
201915,3,IW,47951.2
201915,3,FW,47621.3
201926,1,WS,223.8
201926,1,WR,44.0
201926,1,DS,15.8
201926,1,DR,4.0
201926,1,IW,48309.3
201926,1,FW,47965.5
201926,2,WS,137.6
201926,2,WR,40.3
201926,2,DS,10.7
201926,2,DR,4.4
201926,2,IW,47993.4
201926,2,FW,47681.4
201926,3,WS,289.6
201926,3,WR,51.3
201926,3,DS,24.2
201926,3,DR,4.6
201926,3,IW,48745.7
201926,3,FW,48504.8
201260,1,WS,243.8
201260,1,WR,47.7
201260,1,DS,19.6
201260,1,DR,4.3
201260,1,IW,47898.6
201260,1,FW,47533.9
201260,2,WS,132.9
201260,2,WR,50.0
201260,2,DS,11.7
201260,2,DR,5.0
201260,2,IW,47872.5
201260,2,FW,47574.1
201260,3,WS,254.1
201260,3,WR,65.6
201260,3,DS,19.6
201260,3,DR,6.8
201260,3,IW,48787.3
201260,3,FW,48431.9
201176,1,WS,250.4
201176,1,WR,40.0
201176,1,DS,18.3
201176,1,DR,3.5
201176,1,IW,47360.3
201176,1,FW,46925.1
201176,2,WS,386.1
201176,2,WR,76.3
201176,2,DS,26.5
201176,2,DR,6.3
201176,2,IW,48713.1
201176,2,FW,48425.9
201176,3,WS,564.9
201176,3,WR,162.1
201176,3,DS,35.0
201176,3,DR,13.5
201176,3,IW,48282.2
201176,3,FW,47914.6
200266,1,WS,258.7
200266,1,WR,65.8
200266,1,DS,20.7
200266,1,DR,5.5
200266,1,IW,48739.4
200266,1,FW,48401.0
200266,2,WS,411.0
200266,2,WR,66.9
200266,2,DS,25.8
200266,2,DR,5.4
200266,2,IW,48028.8
200266,2,FW,47707.2
200266,3,WS,259.8
200266,3,WR,36.7
200266,3,DS,18.1
200266,3,DR,2.9
200266,3,IW,47818.5
200266,3,FW,47406.7
201845,1,WS,294.1
201845,1,WR,31.1
201845,1,DS,26.2
201845,1,DR,2.6
201845,1,IW,48320.7
201845,1,FW,47966.7
201845,2,WS,339.7
201845,2,WR,71.9
201845,2,DS,23.7
201845,2,DR,6.3
201845,2,IW,49228.9
201845,2,FW,48999.7
201845,3,WS,294.6
201845,3,WR,26.7
201845,3,DS,21.9
201845,3,DR,2.5
201845,3,IW,48028.3
201845,3,FW,47691.9
200648,1,WS,271.7
200648,1,WR,47.6
200648,1,DS,20.6
200648,1,DR,4.1
200648,1,IW,48757.2
200648,1,FW,48368.9
200648,2,WS,266.3
200648,2,WR,86.6
200648,2,DS,21.0
200648,2,DR,7.7
200648,2,IW,48263.6
200648,2,FW,47899.9
200648,3,WS,333.4
200648,3,WR,57.7
200648,3,DS,25.9
200648,3,DR,5.0
200648,3,IW,48178.7
200648,3,FW,47832.5
201056,1,WS,163.0
201056,1,WR,71.9
201056,1,DS,15.1
201056,1,DR,6.7
201056,1,IW,48838.0
201056,1,FW,48483.2
201056,2,WS,124.4
201056,2,WR,89.7
201056,2,DS,10.8
201056,2,DR,8.3
201056,2,IW,48189.7
201056,2,FW,47844.7
201056,3,WS,175.6
201056,3,WR,33.6
201056,3,DS,13.0
201056,3,DR,3.0
201056,3,IW,48884.7
201056,3,FW,48629.9
200821,1,WS,246.6
200821,1,WR,27.1
200821,1,DS,18.4
200821,1,DR,2.4
200821,1,IW,49241.3
200821,1,FW,48981.7
200821,2,WS,73.4
200821,2,WR,12.4
200821,2,DS,5.9
200821,2,DR,1.1
200821,2,IW,47781.6
200821,2,FW,47500.0
200821,3,WS,110.2
200821,3,WR,24.3
200821,3,DS,9.0
200821,3,DR,2.2
200821,3,IW,47928.6
200821,3,FW,47654.8
201957,1,WS,120.0
201957,1,WR,45.9
201957,1,DS,9.7
201957,1,DR,4.4
201957,1,IW,47405.5
201957,1,FW,47063.6
201957,2,WS,219.3
201957,2,WR,74.2
201957,2,DS,16.3
201957,2,DR,3.5
201957,2,IW,48389.6
201957,2,FW,48099.6
201957,3,WS,188.5
201957,3,WR,42.9
201957,3,DS,14.6
201957,3,DR,3.6
201957,3,IW,48381.9
201957,3,FW,48066.0
200446,1,WS,330.1
200446,1,WR,43.0
200446,1,DS,25.8
200446,1,DR,3.2
200446,1,IW,49659.8
200446,1,FW,49344.9
200446,2,WS,291.5
200446,2,WR,47.1
200446,2,DS,21.2
200446,2,DR,3.4
200446,2,IW,48971.0
200446,2,FW,48684.9
200446,3,WS,610.1
200446,3,WR,37.4
200446,3,DS,37.7
200446,3,DR,3.5
200446,3,IW,48703.8
200446,3,FW,48397.7
201185,1,WS,436.1
201185,1,WR,46.4
201185,1,DS,29.3
201185,1,DR,3.9
201185,1,IW,47496.9
201185,1,FW,47113.7
201185,2,WS,377.3
201185,2,WR,65.3
201185,2,DS,29.0
201185,2,DR,5.8
201185,2,IW,47952.4
201185,2,FW,47600.2
201185,3,WS,182.7
201185,3,WR,64.1
201185,3,DS,13.0
201185,3,DR,5.5
201185,3,IW,48809.5
201185,3,FW,48529.3
200665,1,WS,93.9
200665,1,WR,45.4
200665,1,DS,7.6
200665,1,DR,3.8
200665,1,IW,48280.6
200665,1,FW,47941.0
200665,2,WS,241.0
200665,2,WR,41.5
200665,2,DS,21.6
200665,2,DR,6.3
200665,2,IW,48450.3
200665,2,FW,48103.8
200665,3,WS,258.9
200665,3,WR,83.3
200665,3,DS,18.6
200665,3,DR,4.4
200665,3,IW,48197.7
200665,3,FW,47821.7
201808,1,WS,284.0
201808,1,WR,29.6
201808,1,DS,25.3
201808,1,DR,3.3
201808,1,IW,47844.7
201808,1,FW,47488.1
201808,2,WS,268.4
201808,2,WR,127.7
201808,2,DS,16.4
201808,2,DR,9.2
201808,2,IW,47479.0
201808,2,FW,47150.9
201808,3,WS,171.4
201808,3,WR,30.2
201808,3,DS,15.6
201808,3,DR,3.1
201808,3,IW,48201.3
201808,3,FW,47836.3
201254,1,WS,189.1
201254,1,WR,52.1
201254,1,DS,13.1
201254,1,DR,4.0
201254,1,IW,47791.0
201254,1,FW,47404.4
201254,2,WS,520.5
201254,2,WR,102.0
201254,2,DS,28.4
201254,2,DR,7.1
201254,2,IW,48771.7
201254,2,FW,48311.6
201254,3,WS,337.6
201254,3,WR,54.2
201254,3,DS,20.8
201254,3,DR,3.9
201254,3,IW,48160.8
201254,3,FW,47808.9
201901,1,WS,112.0
201901,1,WR,32.2
201901,1,DS,8.3
201901,1,DR,2.8
201901,1,IW,47830.5
201901,1,FW,47504.1
201901,2,WS,123.0
201901,2,WR,24.6
201901,2,DS,9.5
201901,2,DR,2.8
201901,2,IW,48026.3
201901,2,FW,47702.6
201901,3,WS,195.2
201901,3,WR,26.5
201901,3,DS,14.5
201901,3,DR,2.4
201901,3,IW,48151.8
201901,3,FW,47794.0
200599,1,WS,60.7
200599,1,WR,10.0
200599,1,DS,4.5
200599,1,DR,0.8
200599,1,IW,47441.2
200599,1,FW,47169.8
200599,2,WS,130.1
200599,2,WR,7.1
200599,2,DS,12.3
200599,2,DR,0.7
200599,2,IW,46081.2
200599,2,FW,45628.2
200599,3,WS,90.1
200599,3,WR,10.9
200599,3,DS,6.6
200599,3,DR,1.1
200599,3,IW,48800.3
200599,3,FW,48492.8
201891,1,WS,NA
201891,1,WR,NA
201891,1,DS,NA
201891,1,DR,NA
201891,1,IW,48670.0
201891,1,FW,48318.8
201891,2,WS,NA
201891,2,WR,NA
201891,2,DS,NA
201891,2,DR,NA
201891,2,IW,48089.5
201891,2,FW,47738.7
201891,3,WS,NA
201891,3,WR,NA
201891,3,DS,NA
201891,3,DR,NA
201891,3,IW,47582.7
201891,3,FW,47242.1
200986,1,WS,209.8
200986,1,WR,36.7
200986,1,DS,16.7
200986,1,DR,3.0
200986,1,IW,47450.5
200986,1,FW,47074.0
200986,2,WS,173.5
200986,2,WR,57.3
200986,2,DS,12.6
200986,2,DR,3.9
200986,2,IW,48010.6
200986,2,FW,47710.8
200986,3,WS,139.9
200986,3,WR,52.0
200986,3,DS,12.0
200986,3,DR,4.3
200986,3,IW,48512.8
200986,3,FW,48204.0
control,1,WS,250.0
control,1,WR,57.2
control,1,DS,16.4
control,1,DR,4.7
control,1,IW,48998.3
control,1,FW,48680.2
control,2,WS,279.2
control,2,WR,49.3
control,2,DS,17.0
control,2,DR,3.4
control,2,IW,48436.2
control,2,FW,48083.8
control,3,WS,143.1
control,3,WR,46.5
control,3,DS,9.1
control,3,DR,3.8
control,3,IW,48239.6
control,3,FW,47911.9
control,4,WS,227.1
control,4,WR,59.2
control,4,DS,11.3
control,4,DR,4.4
control,4,IW,48005.0
control,4,FW,47655.0
