isolate,rep,sample,mg
200449,1,WS,180.6
200449,1,WR,41.8
200449,1,DS,18.8
200449,1,DR,4
200449,1,IW,49207.1
200449,1,FW,48848.4
200449,2,WS,180.7
200449,2,WR,26.9
200449,2,DS,15
200449,2,DR,2.5
200449,2,IW,48596.7
200449,2,FW,48310.1
200449,3,WS,354.6
200449,3,WR,45.4
200449,3,DS,27
200449,3,DR,3.9
200449,3,IW,47370.5
200449,3,FW,46981.2
200529,1,WS,321.6
200529,1,WR,96
200529,1,DS,26.9
200529,1,DR,8.2
200529,1,IW,48992.3
200529,1,FW,48514.8
200529,2,WS,132.5
200529,2,WR,48.9
200529,2,DS,10.3
200529,2,DR,3.3
200529,2,IW,47962.2
200529,2,FW,47659
200529,3,WS,256.5
200529,3,WR,56.9
200529,3,DS,20.8
200529,3,DR,4.9
200529,3,IW,48586.6
200529,3,FW,48112
200736,1,WS,401.5
200736,1,WR,91.4
200736,1,DS,27.8
200736,1,DR,7.1
200736,1,IW,47825.8
200736,1,FW,47418.2
200736,2,WS,NA
200736,2,WR,NA
200736,2,DS,NA
200736,2,DR,NA
200736,2,IW,493887.6
200736,2,FW,49069
200736,3,WS,301.4
200736,3,WR,58
200736,3,DS,20.7
200736,3,DR,5.6
200736,3,IW,47239.3
200736,3,FW,46821
200567,1,WS,103.7
200567,1,WR,28.8
200567,1,DS,8.8
200567,1,DR,2.6
200567,1,IW,47630.7
200567,1,FW,47314.2
200567,2,WS,694.4
200567,2,WR,135.2
200567,2,DS,44.6
200567,2,DR,10.5
200567,2,IW,46077.1
200567,2,FW,45522.7
200567,3,WS,511.4
200567,3,WR,117.3
200567,3,DS,36
200567,3,DR,8.3
200567,3,IW,48760.8
200567,3,FW,48312.8
201830,1,WS,NA
201830,1,WR,NA
201830,1,DS,NA
201830,1,DR,NA
201830,1,IW,48028
201830,1,FW,47663.2
201830,2,WS,NA
201830,2,WR,NA
201830,2,DS,NA
201830,2,DR,NA
201830,2,IW,48535.5
201830,2,FW,48161.3
201830,3,WS,NA
201830,3,WR,NA
201830,3,DS,NA
201830,3,DR,NA
201830,3,IW,47874.6
201830,3,FW,47178.7
200517,1,WS,211.6
200517,1,WR,75
200517,1,DS,16.5
200517,1,DR,5.8
200517,1,IW,48440.7
200517,1,FW,48082.5
200517,2,WS,175.5
200517,2,WR,50.5
200517,2,DS,18.7
200517,2,DR,5.2
200517,2,IW,47847.8
200517,2,FW,47430.2
200517,3,WS,314.5
200517,3,WR,46.5
200517,3,DS,27.4
200517,3,DR,3.9
200517,3,IW,47559.9
200517,3,FW,47157.3
201847,1,WS,112.1
201847,1,WR,22.2
201847,1,DS,10.5
201847,1,DR,2.4
201847,1,IW,47667.7
201847,1,FW,47373.1
201847,2,WS,166
201847,2,WR,51.4
201847,2,DS,14.6
201847,2,DR,3.9
201847,2,IW,47271.2
201847,2,FW,46936.2
201847,3,WS,153.4
201847,3,WR,24.9
201847,3,DS,13.8
201847,3,DR,2.1
201847,3,IW,47357.9
201847,3,FW,47045.8
201350,1,WS,493.5
201350,1,WR,78.5
201350,1,DS,29.8
201350,1,DR,5.4
201350,1,IW,49052.7
201350,1,FW,48721.4
201350,2,WS,211.4
201350,2,WR,41.1
201350,2,DS,13.7
201350,2,DR,3.1
201350,2,IW,48734.1
201350,2,FW,48412.3
201350,3,WS,403.7
201350,3,WR,33.1
201350,3,DS,27.4
201350,3,DR,2.6
201350,3,IW,48773
201350,3,FW,48395.9
201838,1,WS,176.7
201838,1,WR,15.7
201838,1,DS,17.9
201838,1,DR,1.5
201838,1,IW,48522.7
201838,1,FW,48155.6
201838,2,WS,561.4
201838,2,WR,93.7
201838,2,DS,42.8
201838,2,DR,7
201838,2,IW,48695.6
201838,2,FW,48275.8
201838,3,WS,147.6
201838,3,WR,26.6
201838,3,DS,12.3
201838,3,DR,2.3
201838,3,IW,47607.8
201838,3,FW,47315.8
201871,1,WS,123.5
201871,1,WR,43.7
201871,1,DS,11.5
201871,1,DR,3.5
201871,1,IW,48369.4
201871,1,FW,48098.4
201871,2,WS,447.8
201871,2,WR,83
201871,2,DS,26.6
201871,2,DR,6.3
201871,2,IW,48499.1
201871,2,FW,48132.2
201871,3,WS,399.2
201871,3,WR,63.3
201871,3,DS,24.4
201871,3,DR,5.4
201871,3,IW,48725.6
201871,3,FW,48423.2
200607,1,WS,201.9
200607,1,WR,26.7
200607,1,DS,13.9
200607,1,DR,2.4
200607,1,IW,48737.3
200607,1,FW,48336.5
200607,2,WS,251.5
200607,2,WR,48.5
200607,2,DS,16.9
200607,2,DR,3.6
200607,2,IW,48089.2
200607,2,FW,47750.6
200607,3,WS,586.2
200607,3,WR,95
200607,3,DS,33.1
200607,3,DR,7.1
200607,3,IW,48629.9
200607,3,FW,48313.2
200669,1,WS,381.8
200669,1,WR,71
200669,1,DS,25.5
200669,1,DR,6.3
200669,1,IW,48601.4
200669,1,FW,48147.7
200669,2,WS,439.9
200669,2,WR,28.7
200669,2,DS,34
200669,2,DR,2.8
200669,2,IW,47284.7
200669,2,FW,46987.1
200669,3,WS,105.2
200669,3,WR,11
200669,3,DS,8.4
200669,3,DR,1
200669,3,IW,47550.1
200669,3,FW,47252.3
200274,1,WS,587.3
200274,1,WR,65.8
200274,1,DS,36.5
200274,1,DR,6.5
200274,1,IW,48957.9
200274,1,FW,48518.2
200274,2,WS,234.7
200274,2,WR,69.1
200274,2,DS,19.3
200274,2,DR,6.8
200274,2,IW,48270.3
200274,2,FW,47890.9
200274,3,WS,236.4
200274,3,WR,52.2
200274,3,DS,19.2
200274,3,DR,5.2
200274,3,IW,46909.9
200274,3,FW,46518
201812,1,WS,NA
201812,1,WR,NA
201812,1,DS,NA
201812,1,DR,NA
201812,1,IW,47830.5
201812,1,FW,47406
201812,2,WS,243.4
201812,2,WR,57.4
